ROWID,Country,State lgd code,State,YearCode,Year,Meat production,Milk production,Egg production,Fish production,Wool production
275,India,33,Tamil Nadu,2015,"Calendar Year (Jan - Dec), 2015",544,7244,161252,7.09,1
276,India,33,Tamil Nadu,2016,"Calendar Year (Jan - Dec), 2016",573,7556,166824,6.69,2
277,India,33,Tamil Nadu,2017,"Calendar Year (Jan - Dec), 2017",603,7742,174161,6.82,2
278,India,33,Tamil Nadu,2018,"Calendar Year (Jan - Dec), 2018",634,8362,188422,7.31,2
279,India,33,Tamil Nadu,2019,"Calendar Year (Jan - Dec), 2019",663,8759,200216,7.57,0
280,India,34,Puducherry,2011,"Calendar Year (Jan - Dec), 2011",14,45,116,0.42,
281,India,34,Puducherry,2012,"Calendar Year (Jan - Dec), 2012",14,47,113,0.41,
282,India,34,Puducherry,2013,"Calendar Year (Jan - Dec), 2013",14,47,113,0.42,
283,India,34,Puducherry,2014,"Calendar Year (Jan - Dec), 2014",14,48,113,0.47,
284,India,34,Puducherry,2015,"Calendar Year (Jan - Dec), 2015",15,48,114,0.54,
285,India,34,Puducherry,2016,"Calendar Year (Jan - Dec), 2016",15,48,114,0.5,
286,India,34,Puducherry,2017,"Calendar Year (Jan - Dec), 2017",15,49,114,0.5,
287,India,34,Puducherry,2018,"Calendar Year (Jan - Dec), 2018",15,49,114,0.31,
288,India,34,Puducherry,2019,"Calendar Year (Jan - Dec), 2019",15,50,114,0.51,
289,India,35,Andaman And Nicobar Islands,2011,"Calendar Year (Jan - Dec), 2011",,26,780,0.35,
290,India,35,Andaman And Nicobar Islands,2012,"Calendar Year (Jan - Dec), 2012",,21,741,0.37,
291,India,35,Andaman And Nicobar Islands,2013,"Calendar Year (Jan - Dec), 2013",2,14,1193,0.37,
292,India,35,Andaman And Nicobar Islands,2014,"Calendar Year (Jan - Dec), 2014",5,16,861,0.37,
293,India,35,Andaman And Nicobar Islands,2015,"Calendar Year (Jan - Dec), 2015",5,15,989,0.37,
294,India,35,Andaman And Nicobar Islands,2016,"Calendar Year (Jan - Dec), 2016",5,16,1032,0.39,
295,India,35,Andaman And Nicobar Islands,2017,"Calendar Year (Jan - Dec), 2017",5,17,1074,0.4,
296,India,35,Andaman And Nicobar Islands,2018,"Calendar Year (Jan - Dec), 2018",5,18,1139,0.41,
297,India,35,Andaman And Nicobar Islands,2019,"Calendar Year (Jan - Dec), 2019",6,19,1189,0.4,
298,India,36,Telangana,2011,"Calendar Year (Jan - Dec), 2011",341.01161515695227060656,5002.60728642868816394672,87778.62452625612554910582,6.6340002317547874973582,2037.79270999130216076056
299,India,36,Telangana,2012,"Calendar Year (Jan - Dec), 2012",374.94723705363926840964,5281.54154445755446296228,92277.57752185227619687756,7.4823907791719624424352,2082.07455807600348716214
300,India,36,Telangana,2013,"Calendar Year (Jan - Dec), 2013",386.94885943173588958390,5382.93456110009488322758,94305.85170375060517532750,8.3514737789651660447092,2084.55765236112692602578
301,India,36,Telangana,2014,"Calendar Year (Jan - Dec), 2014",505,4207,106185,2.68,4423
302,India,36,Telangana,2015,"Calendar Year (Jan - Dec), 2015",542,4442,112058,2.37,4562
303,India,36,Telangana,2016,"Calendar Year (Jan - Dec), 2016",591,4681,118186,1.99,4658
304,India,36,Telangana,2017,"Calendar Year (Jan - Dec), 2017",645,4965,126700,2.7,4506
305,India,36,Telangana,2018,"Calendar Year (Jan - Dec), 2018",754,5416,136868,3.28,4264
306,India,36,Telangana,2019,"Calendar Year (Jan - Dec), 2019",848,5590,148055,3,3960
307,India,37,Ladakh,2011,"Calendar Year (Jan - Dec), 2011",0.69986736624315402016,35.29956028488908089182,142.59797587204263160760,0.004374171039019712626,164.68753961909218036890
308,India,37,Ladakh,2012,"Calendar Year (Jan - Dec), 2012",0.74360907663335114642,35.67136482320575646503,146.86279263508685141795,0.2112724611846521198358,167.99003875355206340153
309,India,37,Ladakh,2013,"Calendar Year (Jan - Dec), 2013",0.72173822143825258329,35.32143114008417945495,145.41931619221034625137,0.004374171039019712626,190.49514874930848486230
310,India,37,Ladakh,2014,"Calendar Year (Jan - Dec), 2014",0.98418848377943534085,42.67003848563729666663,108.43570005729867599854,0.004374171039019712626,183.08092883817007196123
311,India,37,Ladakh,2015,"Calendar Year (Jan - Dec), 2015",1.64031413963239223475,49.71245385845903399449,50.49980464548258226717,0.004374171039019712626,150.16529176954673445058
312,India,37,Ladakh,2016,"Calendar Year (Jan - Dec), 2016",1.85902269158337786605,51.96515194355418599688,50.41232122470218801465,0.004374171039019712626,158.91363384758615970258
313,India,37,Ladakh,2017,"Calendar Year (Jan - Dec), 2017",1.90276440197357499231,53.80230377994246529980,51.04657602536004634542,0.0045928795909706982573,163.79083455609313928057
314,India,37,Ladakh,2018,"Calendar Year (Jan - Dec), 2018",2.01211867794906780796,55.55197219555035035020,51.37463885328652479237,0.0048115881429216838886,166.85275428340693811877
315,India,37,Ladakh,2019,"Calendar Year (Jan - Dec), 2019",2.07773124353436349735,54.80836311891699920378,48.46581511233841589608,0.0045928795909706982573,163.52838429375195652301
316,India,38,The Dadra And Nagar Haveli And Daman And Diu,2011,"Calendar Year (Jan - Dec), 2011",,12.00000000000000000000,93.00000000000000000000,0.1700000000000000000000,
317,India,38,The Dadra And Nagar Haveli And Daman And Diu,2012,"Calendar Year (Jan - Dec), 2012",,12.00000000000000000000,93.00000000000000000000,0.1900000000000000000000,
318,India,38,The Dadra And Nagar Haveli And Daman And Diu,2013,"Calendar Year (Jan - Dec), 2013",,12.00000000000000000000,86.00000000000000000000,0.200000000000000000000,
319,India,38,The Dadra And Nagar Haveli And Daman And Diu,2014,"Calendar Year (Jan - Dec), 2014",1.00000000000000000000,10.00000000000000000000,92.00000000000000000000,0.3200000000000000000000,
320,India,38,The Dadra And Nagar Haveli And Daman And Diu,2015,"Calendar Year (Jan - Dec), 2015",1.00000000000000000000,10.00000000000000000000,81.00000000000000000000,0.2300000000000000000000,
321,India,38,The Dadra And Nagar Haveli And Daman And Diu,2016,"Calendar Year (Jan - Dec), 2016",1.00000000000000000000,9.00000000000000000000,77.00000000000000000000,0.2400000000000000000000,
322,India,38,The Dadra And Nagar Haveli And Daman And Diu,2017,"Calendar Year (Jan - Dec), 2017",,9.00000000000000000000,78.00000000000000000000,0.2500000000000000000000,
323,India,38,The Dadra And Nagar Haveli And Daman And Diu,2018,"Calendar Year (Jan - Dec), 2018",,1.00000000000000000000,5.00000000000000000000,0.0500000000000000000000,
324,India,38,The Dadra And Nagar Haveli And Daman And Diu,2019,"Calendar Year (Jan - Dec), 2019",,1.00000000000000000000,5.00000000000000000000,0.3200000000000000000000,
