ROWID,Country,State lgd code,State,YearCode,Year,Residence type,Gender,Unemployment rate per 1000 population
306,India,8,Rajasthan,1999,"Calendar Year (Jan - Dec), 1999",Urban,Overall,25
307,India,8,Rajasthan,2004,"Calendar Year (Jan - Dec), 2004",Rural,Female,1
308,India,8,Rajasthan,2004,"Calendar Year (Jan - Dec), 2004",Rural,Male,12
309,India,8,Rajasthan,2004,"Calendar Year (Jan - Dec), 2004",Rural,Overall,7
310,India,8,Rajasthan,2004,"Calendar Year (Jan - Dec), 2004",Urban,Female,29
311,India,8,Rajasthan,2004,"Calendar Year (Jan - Dec), 2004",Urban,Male,28
312,India,8,Rajasthan,2004,"Calendar Year (Jan - Dec), 2004",Urban,Overall,29
313,India,8,Rajasthan,2009,"Calendar Year (Jan - Dec), 2009",Rural,Female,1
314,India,8,Rajasthan,2009,"Calendar Year (Jan - Dec), 2009",Rural,Male,6
315,India,8,Rajasthan,2009,"Calendar Year (Jan - Dec), 2009",Rural,Overall,4
316,India,8,Rajasthan,2009,"Calendar Year (Jan - Dec), 2009",Urban,Female,44
317,India,8,Rajasthan,2009,"Calendar Year (Jan - Dec), 2009",Urban,Male,17
318,India,8,Rajasthan,2009,"Calendar Year (Jan - Dec), 2009",Urban,Overall,22
319,India,8,Rajasthan,2011,"Calendar Year (Jan - Dec), 2011",Rural,Female,4
320,India,8,Rajasthan,2011,"Calendar Year (Jan - Dec), 2011",Rural,Male,9
321,India,8,Rajasthan,2011,"Calendar Year (Jan - Dec), 2011",Rural,Overall,7
322,India,8,Rajasthan,2011,"Calendar Year (Jan - Dec), 2011",Urban,Female,25
323,India,8,Rajasthan,2011,"Calendar Year (Jan - Dec), 2011",Urban,Male,32
324,India,8,Rajasthan,2011,"Calendar Year (Jan - Dec), 2011",Urban,Overall,31
325,India,8,Rajasthan,2017,"Calendar Year (Jan - Dec), 2017",Rural,Female,12
326,India,8,Rajasthan,2017,"Calendar Year (Jan - Dec), 2017",Rural,Male,58
327,India,8,Rajasthan,2017,"Calendar Year (Jan - Dec), 2017",Rural,Overall,45
328,India,8,Rajasthan,2017,"Calendar Year (Jan - Dec), 2017",Urban,Female,99
329,India,8,Rajasthan,2017,"Calendar Year (Jan - Dec), 2017",Urban,Male,68
330,India,8,Rajasthan,2017,"Calendar Year (Jan - Dec), 2017",Urban,Overall,72
331,India,8,Rajasthan,2018,"Calendar Year (Jan - Dec), 2018",Rural,Female,21
332,India,8,Rajasthan,2018,"Calendar Year (Jan - Dec), 2018",Rural,Male,59
333,India,8,Rajasthan,2018,"Calendar Year (Jan - Dec), 2018",Rural,Overall,46
334,India,8,Rajasthan,2018,"Calendar Year (Jan - Dec), 2018",Urban,Female,142
335,India,8,Rajasthan,2018,"Calendar Year (Jan - Dec), 2018",Urban,Male,85
336,India,8,Rajasthan,2018,"Calendar Year (Jan - Dec), 2018",Urban,Overall,95
337,India,9,Uttar Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Rural,Female,3
338,India,9,Uttar Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Rural,Male,9
339,India,9,Uttar Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Rural,Overall,7
340,India,9,Uttar Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Urban,Female,11
341,India,9,Uttar Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Urban,Male,32
342,India,9,Uttar Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Urban,Overall,29
343,India,9,Uttar Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Rural,Female,3
344,India,9,Uttar Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Rural,Male,10
345,India,9,Uttar Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Rural,Overall,8
346,India,9,Uttar Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Urban,Female,33
347,India,9,Uttar Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Urban,Male,43
348,India,9,Uttar Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Urban,Overall,41
349,India,9,Uttar Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Rural,Female,3
350,India,9,Uttar Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Rural,Male,7
351,India,9,Uttar Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Rural,Overall,6
352,India,9,Uttar Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Urban,Female,25
353,India,9,Uttar Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Urban,Male,35
354,India,9,Uttar Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Urban,Overall,33
355,India,9,Uttar Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Rural,Female,5
356,India,9,Uttar Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Rural,Male,12
357,India,9,Uttar Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Rural,Overall,10
358,India,9,Uttar Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Urban,Female,34
359,India,9,Uttar Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Urban,Male,29
360,India,9,Uttar Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Urban,Overall,29
361,India,9,Uttar Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Rural,Female,7
362,India,9,Uttar Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Rural,Male,10
363,India,9,Uttar Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Rural,Overall,9
364,India,9,Uttar Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Urban,Female,37
365,India,9,Uttar Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Urban,Male,42
366,India,9,Uttar Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Urban,Overall,41
367,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Rural,Female,15
368,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Rural,Male,62
369,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Rural,Overall,55
370,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Urban,Female,105
371,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Urban,Male,96
372,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Urban,Overall,97
373,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Rural,Female,18
374,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Rural,Male,48
375,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Rural,Overall,43
376,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Urban,Female,61
377,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Urban,Male,112
378,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Urban,Overall,106
379,India,10,Bihar,1993,"Calendar Year (Jan - Dec), 1993",Rural,Female,6
380,India,10,Bihar,1993,"Calendar Year (Jan - Dec), 1993",Rural,Male,19
381,India,10,Bihar,1993,"Calendar Year (Jan - Dec), 1993",Rural,Overall,16
382,India,10,Bihar,1993,"Calendar Year (Jan - Dec), 1993",Urban,Female,92
383,India,10,Bihar,1993,"Calendar Year (Jan - Dec), 1993",Urban,Male,68
384,India,10,Bihar,1993,"Calendar Year (Jan - Dec), 1993",Urban,Overall,71
385,India,10,Bihar,1999,"Calendar Year (Jan - Dec), 1999",Rural,Female,5
386,India,10,Bihar,1999,"Calendar Year (Jan - Dec), 1999",Rural,Male,22
387,India,10,Bihar,1999,"Calendar Year (Jan - Dec), 1999",Rural,Overall,18
388,India,10,Bihar,1999,"Calendar Year (Jan - Dec), 1999",Urban,Female,81
389,India,10,Bihar,1999,"Calendar Year (Jan - Dec), 1999",Urban,Male,73
390,India,10,Bihar,1999,"Calendar Year (Jan - Dec), 1999",Urban,Overall,74
391,India,10,Bihar,2004,"Calendar Year (Jan - Dec), 2004",Rural,Female,2
392,India,10,Bihar,2004,"Calendar Year (Jan - Dec), 2004",Rural,Male,18
393,India,10,Bihar,2004,"Calendar Year (Jan - Dec), 2004",Rural,Overall,15
394,India,10,Bihar,2004,"Calendar Year (Jan - Dec), 2004",Urban,Female,41
395,India,10,Bihar,2004,"Calendar Year (Jan - Dec), 2004",Urban,Male,67
396,India,10,Bihar,2004,"Calendar Year (Jan - Dec), 2004",Urban,Overall,64
397,India,10,Bihar,2009,"Calendar Year (Jan - Dec), 2009",Rural,Female,13
398,India,10,Bihar,2009,"Calendar Year (Jan - Dec), 2009",Rural,Male,21
399,India,10,Bihar,2009,"Calendar Year (Jan - Dec), 2009",Rural,Overall,20
400,India,10,Bihar,2009,"Calendar Year (Jan - Dec), 2009",Urban,Female,160
401,India,10,Bihar,2009,"Calendar Year (Jan - Dec), 2009",Urban,Male,63
402,India,10,Bihar,2009,"Calendar Year (Jan - Dec), 2009",Urban,Overall,73
403,India,10,Bihar,2011,"Calendar Year (Jan - Dec), 2011",Rural,Female,82
404,India,10,Bihar,2011,"Calendar Year (Jan - Dec), 2011",Rural,Male,27
405,India,10,Bihar,2011,"Calendar Year (Jan - Dec), 2011",Rural,Overall,32
406,India,10,Bihar,2011,"Calendar Year (Jan - Dec), 2011",Urban,Female,165
407,India,10,Bihar,2011,"Calendar Year (Jan - Dec), 2011",Urban,Male,45
408,India,10,Bihar,2011,"Calendar Year (Jan - Dec), 2011",Urban,Overall,56
409,India,10,Bihar,2017,"Calendar Year (Jan - Dec), 2017",Rural,Female,23
410,India,10,Bihar,2017,"Calendar Year (Jan - Dec), 2017",Rural,Male,72
411,India,10,Bihar,2017,"Calendar Year (Jan - Dec), 2017",Rural,Overall,70
412,India,10,Bihar,2017,"Calendar Year (Jan - Dec), 2017",Urban,Female,62
413,India,10,Bihar,2017,"Calendar Year (Jan - Dec), 2017",Urban,Male,92
414,India,10,Bihar,2017,"Calendar Year (Jan - Dec), 2017",Urban,Overall,90
415,India,10,Bihar,2018,"Calendar Year (Jan - Dec), 2018",Rural,Female,17
416,India,10,Bihar,2018,"Calendar Year (Jan - Dec), 2018",Rural,Male,106
417,India,10,Bihar,2018,"Calendar Year (Jan - Dec), 2018",Rural,Overall,102
418,India,10,Bihar,2018,"Calendar Year (Jan - Dec), 2018",Urban,Female,123
419,India,10,Bihar,2018,"Calendar Year (Jan - Dec), 2018",Urban,Male,104
420,India,10,Bihar,2018,"Calendar Year (Jan - Dec), 2018",Urban,Overall,105
421,India,11,Sikkim,1993,"Calendar Year (Jan - Dec), 1993",Rural,Female,16
422,India,11,Sikkim,1993,"Calendar Year (Jan - Dec), 1993",Rural,Male,6
423,India,11,Sikkim,1993,"Calendar Year (Jan - Dec), 1993",Rural,Overall,7
424,India,11,Sikkim,1993,"Calendar Year (Jan - Dec), 1993",Urban,Female,62
425,India,11,Sikkim,1993,"Calendar Year (Jan - Dec), 1993",Urban,Male,12
426,India,11,Sikkim,1993,"Calendar Year (Jan - Dec), 1993",Urban,Overall,31
427,India,11,Sikkim,1999,"Calendar Year (Jan - Dec), 1999",Rural,Female,19
428,India,11,Sikkim,1999,"Calendar Year (Jan - Dec), 1999",Rural,Male,32
429,India,11,Sikkim,1999,"Calendar Year (Jan - Dec), 1999",Rural,Overall,28
430,India,11,Sikkim,1999,"Calendar Year (Jan - Dec), 1999",Urban,Female,100
431,India,11,Sikkim,1999,"Calendar Year (Jan - Dec), 1999",Urban,Male,67
432,India,11,Sikkim,1999,"Calendar Year (Jan - Dec), 1999",Urban,Overall,75
433,India,11,Sikkim,2004,"Calendar Year (Jan - Dec), 2004",Rural,Female,15
434,India,11,Sikkim,2004,"Calendar Year (Jan - Dec), 2004",Rural,Male,28
435,India,11,Sikkim,2004,"Calendar Year (Jan - Dec), 2004",Rural,Overall,24
436,India,11,Sikkim,2004,"Calendar Year (Jan - Dec), 2004",Urban,Female,43
437,India,11,Sikkim,2004,"Calendar Year (Jan - Dec), 2004",Urban,Male,36
438,India,11,Sikkim,2004,"Calendar Year (Jan - Dec), 2004",Urban,Overall,37
439,India,11,Sikkim,2009,"Calendar Year (Jan - Dec), 2009",Rural,Female,34
440,India,11,Sikkim,2009,"Calendar Year (Jan - Dec), 2009",Rural,Male,47
441,India,11,Sikkim,2009,"Calendar Year (Jan - Dec), 2009",Rural,Overall,43
442,India,11,Sikkim,2009,"Calendar Year (Jan - Dec), 2009",Urban,Female,
443,India,11,Sikkim,2009,"Calendar Year (Jan - Dec), 2009",Urban,Male,
444,India,11,Sikkim,2009,"Calendar Year (Jan - Dec), 2009",Urban,Overall,
445,India,11,Sikkim,2011,"Calendar Year (Jan - Dec), 2011",Rural,Female,10
446,India,11,Sikkim,2011,"Calendar Year (Jan - Dec), 2011",Rural,Male,9
447,India,11,Sikkim,2011,"Calendar Year (Jan - Dec), 2011",Rural,Overall,10
448,India,11,Sikkim,2011,"Calendar Year (Jan - Dec), 2011",Urban,Female,
449,India,11,Sikkim,2011,"Calendar Year (Jan - Dec), 2011",Urban,Male,32
450,India,11,Sikkim,2011,"Calendar Year (Jan - Dec), 2011",Urban,Overall,23
451,India,11,Sikkim,2017,"Calendar Year (Jan - Dec), 2017",Rural,Female,39
452,India,11,Sikkim,2017,"Calendar Year (Jan - Dec), 2017",Rural,Male,20
453,India,11,Sikkim,2017,"Calendar Year (Jan - Dec), 2017",Rural,Overall,27
454,India,11,Sikkim,2017,"Calendar Year (Jan - Dec), 2017",Urban,Female,99
455,India,11,Sikkim,2017,"Calendar Year (Jan - Dec), 2017",Urban,Male,42
456,India,11,Sikkim,2017,"Calendar Year (Jan - Dec), 2017",Urban,Overall,58
457,India,11,Sikkim,2018,"Calendar Year (Jan - Dec), 2018",Rural,Female,18
458,India,11,Sikkim,2018,"Calendar Year (Jan - Dec), 2018",Rural,Male,30
459,India,11,Sikkim,2018,"Calendar Year (Jan - Dec), 2018",Rural,Overall,25
460,India,11,Sikkim,2018,"Calendar Year (Jan - Dec), 2018",Urban,Female,75
461,India,11,Sikkim,2018,"Calendar Year (Jan - Dec), 2018",Urban,Male,39
462,India,11,Sikkim,2018,"Calendar Year (Jan - Dec), 2018",Urban,Overall,49
463,India,12,Arunachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Rural,Female,2
464,India,12,Arunachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Rural,Male,16
465,India,12,Arunachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Rural,Overall,10
466,India,12,Arunachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Urban,Female,73
467,India,12,Arunachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Urban,Male,17
468,India,12,Arunachal Pradesh,1993,"Calendar Year (Jan - Dec), 1993",Urban,Overall,26
469,India,12,Arunachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Rural,Female,1
470,India,12,Arunachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Rural,Male,8
471,India,12,Arunachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Rural,Overall,5
472,India,12,Arunachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Urban,Female,100
473,India,12,Arunachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Urban,Male,14
474,India,12,Arunachal Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Urban,Overall,29
475,India,12,Arunachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Rural,Female,6
476,India,12,Arunachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Rural,Male,11
477,India,12,Arunachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Rural,Overall,9
478,India,12,Arunachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Urban,Female,28
479,India,12,Arunachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Urban,Male,11
480,India,12,Arunachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Urban,Overall,12
481,India,12,Arunachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Rural,Female,8
482,India,12,Arunachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Rural,Male,15
483,India,12,Arunachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Rural,Overall,13
484,India,12,Arunachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Urban,Female,32
485,India,12,Arunachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Urban,Male,34
486,India,12,Arunachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Urban,Overall,34
487,India,12,Arunachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Rural,Female,16
488,India,12,Arunachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Rural,Male,17
489,India,12,Arunachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Rural,Overall,17
490,India,12,Arunachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Urban,Female,87
491,India,12,Arunachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Urban,Male,36
492,India,12,Arunachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Urban,Overall,48
493,India,12,Arunachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Rural,Female,107
494,India,12,Arunachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Rural,Male,43
495,India,12,Arunachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Rural,Overall,53
496,India,12,Arunachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Urban,Female,206
497,India,12,Arunachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Urban,Male,82
498,India,12,Arunachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Urban,Overall,99
499,India,12,Arunachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Rural,Female,127
500,India,12,Arunachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Rural,Male,61
501,India,12,Arunachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Rural,Overall,73
502,India,12,Arunachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Urban,Female,290
503,India,12,Arunachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Urban,Male,74
504,India,12,Arunachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Urban,Overall,111
505,India,13,Nagaland,1993,"Calendar Year (Jan - Dec), 1993",Rural,Female,
506,India,13,Nagaland,1993,"Calendar Year (Jan - Dec), 1993",Rural,Male,21
507,India,13,Nagaland,1993,"Calendar Year (Jan - Dec), 1993",Rural,Overall,14
508,India,13,Nagaland,1993,"Calendar Year (Jan - Dec), 1993",Urban,Female,64
509,India,13,Nagaland,1993,"Calendar Year (Jan - Dec), 1993",Urban,Male,69
510,India,13,Nagaland,1993,"Calendar Year (Jan - Dec), 1993",Urban,Overall,68
511,India,13,Nagaland,1999,"Calendar Year (Jan - Dec), 1999",Rural,Female,20
512,India,13,Nagaland,1999,"Calendar Year (Jan - Dec), 1999",Rural,Male,26
513,India,13,Nagaland,1999,"Calendar Year (Jan - Dec), 1999",Rural,Overall,24
514,India,13,Nagaland,1999,"Calendar Year (Jan - Dec), 1999",Urban,Female,87
515,India,13,Nagaland,1999,"Calendar Year (Jan - Dec), 1999",Urban,Male,93
516,India,13,Nagaland,1999,"Calendar Year (Jan - Dec), 1999",Urban,Overall,91
517,India,13,Nagaland,2004,"Calendar Year (Jan - Dec), 2004",Rural,Female,14
518,India,13,Nagaland,2004,"Calendar Year (Jan - Dec), 2004",Rural,Male,22
519,India,13,Nagaland,2004,"Calendar Year (Jan - Dec), 2004",Rural,Overall,18
520,India,13,Nagaland,2004,"Calendar Year (Jan - Dec), 2004",Urban,Female,72
521,India,13,Nagaland,2004,"Calendar Year (Jan - Dec), 2004",Urban,Male,46
522,India,13,Nagaland,2004,"Calendar Year (Jan - Dec), 2004",Urban,Overall,55
523,India,13,Nagaland,2009,"Calendar Year (Jan - Dec), 2009",Rural,Female,119
524,India,13,Nagaland,2009,"Calendar Year (Jan - Dec), 2009",Rural,Male,98
525,India,13,Nagaland,2009,"Calendar Year (Jan - Dec), 2009",Rural,Overall,106
526,India,13,Nagaland,2009,"Calendar Year (Jan - Dec), 2009",Urban,Female,190
527,India,13,Nagaland,2009,"Calendar Year (Jan - Dec), 2009",Urban,Male,61
528,India,13,Nagaland,2009,"Calendar Year (Jan - Dec), 2009",Urban,Overall,92
529,India,13,Nagaland,2011,"Calendar Year (Jan - Dec), 2011",Rural,Female,159
530,India,13,Nagaland,2011,"Calendar Year (Jan - Dec), 2011",Rural,Male,146
531,India,13,Nagaland,2011,"Calendar Year (Jan - Dec), 2011",Rural,Overall,151
532,India,13,Nagaland,2011,"Calendar Year (Jan - Dec), 2011",Urban,Female,360
533,India,13,Nagaland,2011,"Calendar Year (Jan - Dec), 2011",Urban,Male,191
534,India,13,Nagaland,2011,"Calendar Year (Jan - Dec), 2011",Urban,Overall,238
535,India,13,Nagaland,2017,"Calendar Year (Jan - Dec), 2017",Rural,Female,334
536,India,13,Nagaland,2017,"Calendar Year (Jan - Dec), 2017",Rural,Male,190
537,India,13,Nagaland,2017,"Calendar Year (Jan - Dec), 2017",Rural,Overall,216
538,India,13,Nagaland,2017,"Calendar Year (Jan - Dec), 2017",Urban,Female,364
539,India,13,Nagaland,2017,"Calendar Year (Jan - Dec), 2017",Urban,Male,165
540,India,13,Nagaland,2017,"Calendar Year (Jan - Dec), 2017",Urban,Overall,211
541,India,13,Nagaland,2018,"Calendar Year (Jan - Dec), 2018",Rural,Female,214
542,India,13,Nagaland,2018,"Calendar Year (Jan - Dec), 2018",Rural,Male,144
543,India,13,Nagaland,2018,"Calendar Year (Jan - Dec), 2018",Rural,Overall,162
544,India,13,Nagaland,2018,"Calendar Year (Jan - Dec), 2018",Urban,Female,429
545,India,13,Nagaland,2018,"Calendar Year (Jan - Dec), 2018",Urban,Male,154
546,India,13,Nagaland,2018,"Calendar Year (Jan - Dec), 2018",Urban,Overall,211
547,India,14,Manipur,1993,"Calendar Year (Jan - Dec), 1993",Rural,Female,7
548,India,14,Manipur,1993,"Calendar Year (Jan - Dec), 1993",Rural,Male,12
549,India,14,Manipur,1993,"Calendar Year (Jan - Dec), 1993",Rural,Overall,10
550,India,14,Manipur,1993,"Calendar Year (Jan - Dec), 1993",Urban,Female,32
551,India,14,Manipur,1993,"Calendar Year (Jan - Dec), 1993",Urban,Male,48
552,India,14,Manipur,1993,"Calendar Year (Jan - Dec), 1993",Urban,Overall,42
553,India,14,Manipur,1999,"Calendar Year (Jan - Dec), 1999",Rural,Female,15
554,India,14,Manipur,1999,"Calendar Year (Jan - Dec), 1999",Rural,Male,21
555,India,14,Manipur,1999,"Calendar Year (Jan - Dec), 1999",Rural,Overall,19
556,India,14,Manipur,1999,"Calendar Year (Jan - Dec), 1999",Urban,Female,62
557,India,14,Manipur,1999,"Calendar Year (Jan - Dec), 1999",Urban,Male,69
558,India,14,Manipur,1999,"Calendar Year (Jan - Dec), 1999",Urban,Overall,67
559,India,14,Manipur,2004,"Calendar Year (Jan - Dec), 2004",Rural,Female,7
560,India,14,Manipur,2004,"Calendar Year (Jan - Dec), 2004",Rural,Male,14
561,India,14,Manipur,2004,"Calendar Year (Jan - Dec), 2004",Rural,Overall,11
562,India,14,Manipur,2004,"Calendar Year (Jan - Dec), 2004",Urban,Female,63
563,India,14,Manipur,2004,"Calendar Year (Jan - Dec), 2004",Urban,Male,52
564,India,14,Manipur,2004,"Calendar Year (Jan - Dec), 2004",Urban,Overall,55
565,India,14,Manipur,2009,"Calendar Year (Jan - Dec), 2009",Rural,Female,37
566,India,14,Manipur,2009,"Calendar Year (Jan - Dec), 2009",Rural,Male,38
567,India,14,Manipur,2009,"Calendar Year (Jan - Dec), 2009",Rural,Overall,38
568,India,14,Manipur,2009,"Calendar Year (Jan - Dec), 2009",Urban,Female,41
569,India,14,Manipur,2009,"Calendar Year (Jan - Dec), 2009",Urban,Male,50
570,India,14,Manipur,2009,"Calendar Year (Jan - Dec), 2009",Urban,Overall,48
571,India,14,Manipur,2011,"Calendar Year (Jan - Dec), 2011",Rural,Female,30
572,India,14,Manipur,2011,"Calendar Year (Jan - Dec), 2011",Rural,Male,24
573,India,14,Manipur,2011,"Calendar Year (Jan - Dec), 2011",Rural,Overall,26
574,India,14,Manipur,2011,"Calendar Year (Jan - Dec), 2011",Urban,Female,108
575,India,14,Manipur,2011,"Calendar Year (Jan - Dec), 2011",Urban,Male,56
576,India,14,Manipur,2011,"Calendar Year (Jan - Dec), 2011",Urban,Overall,71
577,India,14,Manipur,2017,"Calendar Year (Jan - Dec), 2017",Rural,Female,178
578,India,14,Manipur,2017,"Calendar Year (Jan - Dec), 2017",Rural,Male,99
579,India,14,Manipur,2017,"Calendar Year (Jan - Dec), 2017",Rural,Overall,116
580,India,14,Manipur,2017,"Calendar Year (Jan - Dec), 2017",Urban,Female,123
581,India,14,Manipur,2017,"Calendar Year (Jan - Dec), 2017",Urban,Male,111
582,India,14,Manipur,2017,"Calendar Year (Jan - Dec), 2017",Urban,Overall,114
583,India,14,Manipur,2018,"Calendar Year (Jan - Dec), 2018",Rural,Female,156
584,India,14,Manipur,2018,"Calendar Year (Jan - Dec), 2018",Rural,Male,77
585,India,14,Manipur,2018,"Calendar Year (Jan - Dec), 2018",Rural,Overall,98
586,India,14,Manipur,2018,"Calendar Year (Jan - Dec), 2018",Urban,Female,77
587,India,14,Manipur,2018,"Calendar Year (Jan - Dec), 2018",Urban,Male,98
588,India,14,Manipur,2018,"Calendar Year (Jan - Dec), 2018",Urban,Overall,92
589,India,15,Mizoram,1993,"Calendar Year (Jan - Dec), 1993",Rural,Female,4
590,India,15,Mizoram,1993,"Calendar Year (Jan - Dec), 1993",Rural,Male,14
591,India,15,Mizoram,1993,"Calendar Year (Jan - Dec), 1993",Rural,Overall,10
592,India,15,Mizoram,1993,"Calendar Year (Jan - Dec), 1993",Urban,Female,5
593,India,15,Mizoram,1993,"Calendar Year (Jan - Dec), 1993",Urban,Male,5
594,India,15,Mizoram,1993,"Calendar Year (Jan - Dec), 1993",Urban,Overall,5
595,India,15,Mizoram,1999,"Calendar Year (Jan - Dec), 1999",Rural,Female,3
596,India,15,Mizoram,1999,"Calendar Year (Jan - Dec), 1999",Rural,Male,14
597,India,15,Mizoram,1999,"Calendar Year (Jan - Dec), 1999",Rural,Overall,9
598,India,15,Mizoram,1999,"Calendar Year (Jan - Dec), 1999",Urban,Female,24
599,India,15,Mizoram,1999,"Calendar Year (Jan - Dec), 1999",Urban,Male,34
600,India,15,Mizoram,1999,"Calendar Year (Jan - Dec), 1999",Urban,Overall,30
601,India,15,Mizoram,2004,"Calendar Year (Jan - Dec), 2004",Rural,Female,1
602,India,15,Mizoram,2004,"Calendar Year (Jan - Dec), 2004",Rural,Male,5
603,India,15,Mizoram,2004,"Calendar Year (Jan - Dec), 2004",Rural,Overall,3
604,India,15,Mizoram,2004,"Calendar Year (Jan - Dec), 2004",Urban,Female,26
605,India,15,Mizoram,2004,"Calendar Year (Jan - Dec), 2004",Urban,Male,16
606,India,15,Mizoram,2004,"Calendar Year (Jan - Dec), 2004",Urban,Overall,19
607,India,15,Mizoram,2009,"Calendar Year (Jan - Dec), 2009",Rural,Female,15
608,India,15,Mizoram,2009,"Calendar Year (Jan - Dec), 2009",Rural,Male,13
609,India,15,Mizoram,2009,"Calendar Year (Jan - Dec), 2009",Rural,Overall,13
610,India,15,Mizoram,2009,"Calendar Year (Jan - Dec), 2009",Urban,Female,34
611,India,15,Mizoram,2009,"Calendar Year (Jan - Dec), 2009",Urban,Male,25
612,India,15,Mizoram,2009,"Calendar Year (Jan - Dec), 2009",Urban,Overall,28
