srcStateName,srcYear,State Development Loans,Power bonds,Compensation and other bonds,Special securities issued to National Small Savings Fund (NSSF),Ways and Means Advances (WMA) ,Loans from Life Insurance Corporation of India,Loans from General Insurance Corporation of India,Loans from National Bank for Agriculture and Rural Development (NABARD),Loans from State Bank of India (SBI) and other banks as on end-March,Loans from National Co-operative Development Corporation (NCDC ) as on end-March,Loans from other institutions,Loans from banks and Financial Institutions,Total internal debt,Loans and Advances from Centre,Provident Funds,Reserve Funds,Deposits and Advances,Contingency funds,Total outstanding liabilities,YearCode,Year
Nagaland,2016,5351,,,171,290,21,22,208,0,9,460,719,6531,197,862,399,934,0,8923,2016,"Financial Year (Apr - Mar), 2016"
Odisha,2016,8128,,,11645,0,2,12,6671,0,21,40,6746,26519,7222,18261,5829,7110,277,65218,2016,"Financial Year (Apr - Mar), 2016"
Punjab,2016,67202,9860,,23889,0,0,0,2142,606,0,199,2946,103897,3563,19371,4112,3163,25,134130,2016,"Financial Year (Apr - Mar), 2016"
Rajasthan,2016,75193,37350,7846,20038,0,31,39,7624,0,159,10,7863,148290,8242,35514,1501,15814,500,209861,2016,"Financial Year (Apr - Mar), 2016"
Sikkim,2016,2300,,,219,0,103,0,216,0,3,17,339,2858,131,748,441,159,1,4338,2016,"Financial Year (Apr - Mar), 2016"
Tamil Nadu,2016,147950,,,24926,0,616,47,6947,116,240,-76,7890,180765,13392,16970,6598,10660,131,228516,2016,"Financial Year (Apr - Mar), 2016"
Telangana,2016,69130,,,11316,0,113,25,2754,0,45,432,3370,83816,636,1130,511,4380,50,90523,2016,"Financial Year (Apr - Mar), 2016"
Tripura,2016,3248,,,1487,0,66,1,823,0,7,1,898,5633,294,3355,625,437,10,10354,2016,"Financial Year (Apr - Mar), 2016"
Puducherry,2017,4567,,,799,,,,,,,894,894,6261,758,603,-64,8299,1,15857,2017,"Financial Year (Apr - Mar), 2017"
Gujarat,2017,136102,,2,46370,0,0,0,10278,22,0,0,10299,192773,6576,10060,4713,29034,200,243357,2017,"Financial Year (Apr - Mar), 2017"
Haryana,2017,81178,25950,,12304,0,0,3,1947,28,226,979,3183,122615,2156,13321,4707,6413,200,149412,2017,"Financial Year (Apr - Mar), 2017"
Himachal Pradesh,2017,19023,2890,,7150,0,75,0,2101,0,96,158,2430,31494,1072,11844,220,2610,5,47244,2017,"Financial Year (Apr - Mar), 2017"
Jammu and Kashmir,2017,22046,3538,,4234,890,1548,2,1813,0,0,276,3638,34345,1172,19363,1875,5214,1,61969,2017,"Financial Year (Apr - Mar), 2017"
Jharkhand,2017,28280,5553,25,9830,0,5,2,4640,0,96,273,5015,48704,2163,1076,1259,13647,500,67350,2017,"Financial Year (Apr - Mar), 2017"
Karnataka,2017,108359,,0,20157,0,175,13,3908,0,-123,0,3973,132489,13812,24920,16384,23484,80,211169,2017,"Financial Year (Apr - Mar), 2017"
Kerala,2017,99532,,1,13516,0,1682,211,2884,0,295,155,5227,118276,7610,60571,2174,2892,100,191623,2017,"Financial Year (Apr - Mar), 2017"
Madhya Pradesh,2017,70691,7360,1,21446,0,53,5,8226,1,213,158,8656,108154,13920,14493,7217,11781,500,156066,2017,"Financial Year (Apr - Mar), 2017"
Maharashtra,2017,211883,4960,3,70645,0,353,-1,5705,2,150,255,6465,293954,7877,24645,9638,59737,150,396001,2017,"Financial Year (Apr - Mar), 2017"
Manipur,2017,3779,,,761,102,6,0,259,0,6,8,279,4921,368,1513,513,1515,0,8831,2017,"Financial Year (Apr - Mar), 2017"
Meghalaya,2017,4180,125,,732,0,0,0,333,0,0,7,340,5377,185,1374,36,2067,205,9244,2017,"Financial Year (Apr - Mar), 2017"
Mizoram,2017,2038,,,220,-18,-29,0,240,0,32,104,347,2587,281,2921,2,889,0,6680,2017,"Financial Year (Apr - Mar), 2017"
Nagaland,2017,6084,,,158,0,16,21,176,0,4,486,702,6944,176,891,624,927,0,9562,2017,"Financial Year (Apr - Mar), 2017"
Odisha,2017,15093,,,10813,0,1,10,8505,0,15,87,8618,34524,7455,20118,1760,7728,400,71984,2017,"Financial Year (Apr - Mar), 2017"
Punjab,2017,79346,15628,,22116,268,0,0,2496,29920,0,143,32559,149916,3890,20604,4870,3279,25,182584,2017,"Financial Year (Apr - Mar), 2017"
Rajasthan,2017,89518,59722,7850,18486,0,27,35,8377,0,189,68,8695,184271,11124,38894,1623,19061,500,255472,2017,"Financial Year (Apr - Mar), 2017"
Sikkim,2017,2874,,,211,0,94,0,202,0,3,15,313,3398,124,831,94,240,1,4689,2017,"Financial Year (Apr - Mar), 2017"
Tamil Nadu,2017,182942,22815,,23192,0,548,40,8049,84,204,-86,8839,237788,14327,19325,1342,10688,150,283620,2017,"Financial Year (Apr - Mar), 2017"
Telangana,2017,43911,8923,,10518,0,99,22,3192,0,128,277,3718,67069,1199,6594,631,6278,50,81821,2017,"Financial Year (Apr - Mar), 2017"
Tripura,2017,4001,,,1374,0,51,1,853,0,6,1,913,6288,266,3751,745,791,10,11852,2017,"Financial Year (Apr - Mar), 2017"
NCT Delhi,2017,,0,0,30018,,,,,,,0,0,30018,3326,0,0,0,,33345,2017,"Financial Year (Apr - Mar), 2017"
Uttar Pradesh,2017,164874,39134,10582,65439,0,2,7,7773,0,97,50620,58500,338529,13272,48238,51015,22003,292,473348,2017,"Financial Year (Apr - Mar), 2017"
Uttarakhand,2017,20832,,,9710,0,1,5,3444,36,22,1,3509,34052,653,6390,357,2626,431,44508,2017,"Financial Year (Apr - Mar), 2017"
West Bengal,2017,193637,,2,81902,0,0,1,33,0,76,6542,6652,282192,13024,13346,997,28032,20,337611,2017,"Financial Year (Apr - Mar), 2017"
Manipur,2018,4057,,,685,486,6,,300,0,6,15,326,5554,333,1510,679,1489,0,9565,2018,"Financial Year (Apr - Mar), 2018"
Andhra Pradesh,2018,129969,8256,1500,13659,230,103,24,4468,,42,-22,4615,158230,16169,13509,1487,39889,50,229334,2018,"Financial Year (Apr - Mar), 2018"
Arunachal Pradesh,2018,2315,,,1023,56,,11,422,,113,13,560,3953,179,2002,724,110,0,6969,2018,"Financial Year (Apr - Mar), 2018"
Assam,2018,22465,,0,8664,,0,-1,2165,,,0,2164,33294,1366,11207,4739,-1396,100,49310,2018,"Financial Year (Apr - Mar), 2018"
Bihar,2018,73897,2332,,21450,,22,-1,6705,,94,8,6827,104506,10208,8811,26,33080,350,156981,2018,"Financial Year (Apr - Mar), 2018"
Uttar Pradesh,2016,127970,24332,10582,69971,0,4,9,7192,0,92,35761,43059,275914,13680,45925,35804,13546,468,385337,2016,"Financial Year (Apr - Mar), 2016"
Uttarakhand,2016,15754,,42,10388,0,1,5,2920,36,17,1,2980,29163,541,5941,1622,2761,263,40291,2016,"Financial Year (Apr - Mar), 2016"
West Bengal,2016,162407,,2,87783,0,1,1,33,0,30,6247,6312,256505,13480,12490,8702,23544,20,314742,2016,"Financial Year (Apr - Mar), 2016"
Puducherry,2016,4042,,,881,,,,,,,770,770,5694,741,538,220,607,1,7800,2016,"Financial Year (Apr - Mar), 2016"
Andhra Pradesh,2017,158429,8256,1500,14721,0,129,29,3376,0,49,21,3604,186510,16217,13568,2628,35310,50,254283,2017,"Financial Year (Apr - Mar), 2017"
Arunachal Pradesh,2017,1612,,,931,-400,0,11,308,0,112,20,451,2594,205,1761,586,524,0,5670,2017,"Financial Year (Apr - Mar), 2017"
Assam,2017,15669,,0,9332,0,0,0,1738,0,0,0,1738,26739,1433,10179,2805,2830,50,44036,2017,"Financial Year (Apr - Mar), 2017"
Bihar,2017,64989,2332,25,23179,0,22,-1,5885,0,123,8,6037,96562,9627,8891,723,22917,350,139069,2017,"Financial Year (Apr - Mar), 2017"
Chhattisgarh,2017,18450,870,,5669,0,20,2,3167,0,8,0,3198,28187,2056,4592,2343,6118,100,43397,2017,"Financial Year (Apr - Mar), 2017"
Goa,2017,7760,,,2719,0,8,0,596,0,1,68,672,11151,1224,2079,773,1576,100,16903,2017,"Financial Year (Apr - Mar), 2017"
Chhattisgarh,2018,26550,870,,5331,,20,2,3859,,8,0,3889,36640,2348,6075,3649,6237,100,55050,2018,"Financial Year (Apr - Mar), 2018"
Goa,2018,9160,,,2540,,6,,620,,1,61,688,12388,1214,2315,872,1753,100,18642,2018,"Financial Year (Apr - Mar), 2018"
Gujarat,2018,151887,,2,42919,,,,11818,19,,0,11837,206645,5957,10400,14932,30129,200,268263,2018,"Financial Year (Apr - Mar), 2018"
Haryana,2018,97017,25950,,11350,,0,2,2120,28,509,833,3493,137810,2111,14548,5527,7066,200,167262,2018,"Financial Year (Apr - Mar), 2018"
Himachal Pradesh,2018,21574,2891,,6635,,51,0,2251,,75,114,2492,33591,1075,13236,325,2798,5,51030,2018,"Financial Year (Apr - Mar), 2018"
Jammu and Kashmir,2018,26020,3538,,3835,301,1416,1,1844,,,465,3726,37419,1088,20919,2175,6286,1,67887,2018,"Financial Year (Apr - Mar), 2018"
Jharkhand,2018,33088,5553,,9083,,5,2,5564,0,83,417,6070,53794,2234,1142,1551,18364,500,77586,2018,"Financial Year (Apr - Mar), 2018"
Karnataka,2018,125707,,0,18584,,139,8,4270,0,-128,0,4289,148581,14573,27731,29675,25311,80,245951,2018,"Financial Year (Apr - Mar), 2018"
Kerala,2018,115735,,1,14557,,1413,190,3021,,413,170,5208,135501,7480,67778,2483,3158,100,216499,2018,"Financial Year (Apr - Mar), 2018"
Madhya Pradesh,2018,83816,7360,1,22795,,43,4,9134,1,206,181,9569,123542,14744,14331,5928,14093,500,173137,2018,"Financial Year (Apr - Mar), 2018"
Maharashtra,2018,248363,4960,3,65445,,199,-1,7244,2,685,44,8174,326944,7096,25192,9444,63654,150,432479,2018,"Financial Year (Apr - Mar), 2018"
Meghalaya,2018,5099,125,,688,,0,0,374,,0,1,375,6287,171,1532,325,1538,305,10157,2018,"Financial Year (Apr - Mar), 2018"
Mizoram,2018,2315,,,204,,-51,0,303,,30,221,503,3021,267,2742,301,1215,0,7547,2018,"Financial Year (Apr - Mar), 2018"
Nagaland,2018,6850,,,133,,12,21,147,,10,468,658,7640,154,953,849,803,0,10399,2018,"Financial Year (Apr - Mar), 2018"
Odisha,2018,23531,,,10022,,1,8,10925,0,11,86,11031,44584,7596,21675,7197,21614,400,103066,2018,"Financial Year (Apr - Mar), 2018"
Punjab,2018,92694,15628,,20337,703,0,,2223,29110,10,79,31423,160785,4015,21730,5520,3099,25,195174,2018,"Financial Year (Apr - Mar), 2018"
Rajasthan,2018,110445,55572,7846,16968,,22,30,9077,,152,131,9413,200244,12047,42095,2018,24759,500,281663,2018,"Financial Year (Apr - Mar), 2018"
Sikkim,2018,3619,,,185,,83,0,210,,2,13,308,4112,117,912,506,263,1,5911,2018,"Financial Year (Apr - Mar), 2018"
Tamil Nadu,2018,218965,22815,,21355,,481,33,8776,51,251,-93,9499,272634,16112,21660,1877,14203,150,326636,2018,"Financial Year (Apr - Mar), 2018"
Telangana,2018,113120,8923,,9674,,85,19,3747,,112,192,4154,135871,1424,9272,1521,12158,50,160296,2018,"Financial Year (Apr - Mar), 2018"
Tripura,2018,5138,,,1309,,36,1,910,,5,1,952,7398,235,4272,571,897,10,13384,2018,"Financial Year (Apr - Mar), 2018"
Uttar Pradesh,2018,202050,39134,10540,60608,,2,6,7877,,80,50853,58817,371150,12834,50768,59280,23416,137,517585,2018,"Financial Year (Apr - Mar), 2018"
Uttarakhand,2018,26662,,,9838,,1,5,3724,36,17,1,3785,40286,727,7010,1651,3344,54,53071,2018,"Financial Year (Apr - Mar), 2018"
West Bengal,2018,218941,,2,75801,,,0,33,,65,6934,7032,301776,14048,14510,10080,30638,19,371071,2018,"Financial Year (Apr - Mar), 2018"
NCT Delhi,2018,,,,,,,,,,,0,0,0,3326,0,0,0,0,3326,2018,"Financial Year (Apr - Mar), 2018"
Puducherry,2018,5055,,,,,,,,,,67,67,5122,763,649,232,497,1,7264,2018,"Financial Year (Apr - Mar), 2018"
Andhra Pradesh,2019,155376,8256,1500,12504,370,81,20,5081,0,138,-53,5267,183274,17043,15730,2785,45570,50,264451,2019,"Financial Year (Apr - Mar), 2019"
Arunachal Pradesh,2019,3008,0,0,1074,0,1,0,617,0,118,18,754,4835,150,2228,1031,186,0,8431,2019,"Financial Year (Apr - Mar), 2019"
Assam,2019,30555,0,0,7955,0,0,2,2971,0,33,0,3006,41515,1314,12188,4435,244,100,59796,2019,"Financial Year (Apr - Mar), 2019"
Bihar,2019,84800,2332,19,19631,0,22,-1,7372,0,177,8,7578,114360,11809,9089,26,33411,350,169045,2019,"Financial Year (Apr - Mar), 2019"
Chhattisgarh,2019,39450,870,0,4887,0,20,1,4267,0,8,0,4296,49504,2704,6832,3841,6006,95,68982,2019,"Financial Year (Apr - Mar), 2019"
Goa,2019,11010,0,0,2341,0,4,0,608,0,0,55,668,14019,1192,2422,896,1874,98,20500,2019,"Financial Year (Apr - Mar), 2019"
Gujarat,2019,179324,0,2,39385,0,0,0,14150,16,0,0,14166,232877,7436,10609,15503,32131,200,298755,2019,"Financial Year (Apr - Mar), 2019"
Haryana,2019,114987,25950,0,10370,0,0,1,2530,289,183,655,3659,154966,2036,15715,6316,8404,200,187636,2019,"Financial Year (Apr - Mar), 2019"
Himachal Pradesh,2019,23682,2891,0,6097,0,35,0,2486,0,86,87,2694,35363,1061,14350,318,3207,5,54303,2019,"Financial Year (Apr - Mar), 2019"
Jammu and Kashmir,2019,30947,3538,0,3502,532,1270,1,1988,0,0,444,3703,42221,975,26242,2497,6840,1,78777,2019,"Financial Year (Apr - Mar), 2019"
Jharkhand,2019,37111,5553,6,8326,0,5,2,6896,0,76,463,7442,58438,2339,1211,1530,19860,500,83878,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,2019,157890,0,0,16989,0,105,4,4454,0,-134,0,4430,179309,14666,31023,32872,28379,80,286329,2019,"Financial Year (Apr - Mar), 2019"
Kerala,2019,129719,0,1,15608,0,1146,172,3143,0,393,810,5664,150991,7243,77397,4464,3551,100,243746,2019,"Financial Year (Apr - Mar), 2019"
Madhya Pradesh,2019,98817,7360,0,23881,0,34,3,9512,1,197,156,9903,139962,17392,16577,6490,14257,500,195178,2019,"Financial Year (Apr - Mar), 2019"
Maharashtra,2019,251470,4960,3,60136,0,66,-1,11827,2,31,-45,11880,328448,6495,25684,8088,67976,2150,438842,2019,"Financial Year (Apr - Mar), 2019"
Manipur,2019,4724,0,0,631,618,6,0,427,0,6,13,452,6426,290,1494,819,1434,0,10463,2019,"Financial Year (Apr - Mar), 2019"
Meghalaya,2019,5962,125,0,638,0,0,0,451,0,38,0,489,7214,172,1711,383,1564,305,11348,2019,"Financial Year (Apr - Mar), 2019"
Mizoram,2019,2192,0,0,188,0,-79,0,330,0,28,264,543,2922,290,2381,341,1705,0,7639,2019,"Financial Year (Apr - Mar), 2019"
Nagaland,2019,7205,0,0,120,0,9,20,126,0,31,459,644,7969,136,1569,1074,891,0,11640,2019,"Financial Year (Apr - Mar), 2019"
Odisha,2019,28031,0,0,9173,0,0,6,13092,0,7,110,13217,50421,7824,23423,1330,21647,1040,105685,2019,"Financial Year (Apr - Mar), 2019"
Punjab,2019,109748,15628,0,18535,-2,0,0,1985,28235,23,19,30262,174172,4957,22994,6403,3390,25,211940,2019,"Financial Year (Apr - Mar), 2019"
Rajasthan,2019,137267,48936,7846,15408,0,19,26,9183,0,152,475,9854,219312,13911,47478,1839,28814,500,311854,2019,"Financial Year (Apr - Mar), 2019"
Sikkim,2019,4414,0,0,170,0,73,0,216,0,1,12,303,4887,112,1006,566,279,1,6850,2019,"Financial Year (Apr - Mar), 2019"
Tamil Nadu,2019,251243,22815,0,19578,0,491,27,10014,14,229,-61,10714,304350,17276,24110,8284,47344,140,401504,2019,"Financial Year (Apr - Mar), 2019"
Telangana,2019,133720,8923,0,8860,0,72,16,4546,0,88,710,5431,156934,1399,10117,1968,19738,48,190203,2019,"Financial Year (Apr - Mar), 2019"
Tripura,2019,6525,0,0,1193,0,21,1,884,0,3,1,909,8627,216,4734,545,954,10,15086,2019,"Financial Year (Apr - Mar), 2019"
Uttar Pradesh,2019,235358,39134,10580,55737,0,1,4,11058,0,72,50958,62093,402902,11995,54413,72825,25613,30,567777,2019,"Financial Year (Apr - Mar), 2019"
Uttarakhand,2019,31952,0,2,9427,0,1,5,3899,36,120,1,4063,45444,784,7900,1762,3333,164,59387,2019,"Financial Year (Apr - Mar), 2019"
West Bengal,2019,249372,0,2,69676,0,0,0,33,0,59,6921,7013,326063,14172,15637,12493,36351,19,404736,2019,"Financial Year (Apr - Mar), 2019"
NCT Delhi,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,3406,0,0,0,0,3406,2019,"Financial Year (Apr - Mar), 2019"
Puducherry,2019,5530,0,0,0,0,0,0,0,0,0,956,956,6486,741,674,232,471,1,8604,2019,"Financial Year (Apr - Mar), 2019"
Andhra Pradesh,2020,188820,8256,1500,11331,0,61,20,5596,0,119,-87,5709,215617,17353,15648,5700,54777,50,309144,2020,"Financial Year (Apr - Mar), 2020"
Arunachal Pradesh,2020,4295,0,0,1212,0,1,0,791,0,120,13,924,6430,124,2404,2740,118,0,11816,2020,"Financial Year (Apr - Mar), 2020"
Assam,2020,41551,0,0,7200,0,0,2,4247,0,32,-1,4279,53029,1421,13244,4441,3530,200,75867,2020,"Financial Year (Apr - Mar), 2020"
Bihar,2020,107401,2332,19,17742,0,22,-1,8234,0,819,8,9081,136576,12980,8989,409,33628,350,192930,2020,"Financial Year (Apr - Mar), 2020"
Chhattisgarh,2020,50430,870,0,4427,159,20,1,4807,0,17,0,4846,60732,3143,7407,9158,6006,95,86540,2020,"Financial Year (Apr - Mar), 2020"
Goa,2020,13010,0,0,2136,0,3,0,687,0,0,48,739,15886,1178,2534,921,2000,98,22617,2020,"Financial Year (Apr - Mar), 2020"
Gujarat,2020,207924,0,2,35756,0,0,0,16157,13,0,0,16170,259852,7708,10627,15503,32786,200,326675,2020,"Financial Year (Apr - Mar), 2020"
Haryana,2020,135664,25950,0,9365,0,0,1,3040,289,172,559,4060,175040,1987,16875,7918,7722,200,209741,2020,"Financial Year (Apr - Mar), 2020"
Himachal Pradesh,2020,28142,2891,0,5528,-24,25,0,2756,0,92,61,2934,39470,1044,15495,318,3207,5,59538,2020,"Financial Year (Apr - Mar), 2020"
Jammu and Kashmir,2020,37707,3538,0,3502,229,1136,1,2061,0,0,72,3269,48245,862,29516,2538,6840,1,88002,2020,"Financial Year (Apr - Mar), 2020"
Jharkhand,2020,42767,5553,6,7556,0,5,2,7563,0,83,798,8451,64333,2766,1009,5445,18175,1000,92729,2020,"Financial Year (Apr - Mar), 2020"
Karnataka,2020,200390,0,0,15361,0,73,4,4672,0,-134,-4,4612,220363,14201,35195,30250,26649,80,326737,2020,"Financial Year (Apr - Mar), 2020"
Kerala,2020,142336,0,1,17201,0,881,172,3211,0,393,965,5620,165158,8647,84088,4458,3734,100,266185,2020,"Financial Year (Apr - Mar), 2020"
Madhya Pradesh,2020,115367,7360,0,26481,0,24,3,10313,1,230,196,10767,159976,20942,20977,10613,16424,500,229432,2020,"Financial Year (Apr - Mar), 2020"
Maharashtra,2020,284468,4960,2,54755,0,-1,-1,16447,2,-19,-136,16292,360477,5763,27243,11281,71702,2150,478615,2020,"Financial Year (Apr - Mar), 2020"
Manipur,2020,5978,0,0,579,618,6,0,498,0,6,-9,501,7677,242,1694,819,1344,0,11776,2020,"Financial Year (Apr - Mar), 2020"
Meghalaya,2020,7033,125,0,583,0,0,0,635,0,38,10,683,8423,212,1776,383,881,305,11980,2020,"Financial Year (Apr - Mar), 2020"
Mizoram,2020,2936,0,0,176,0,-102,0,462,0,23,250,634,3746,300,2202,342,1805,0,8394,2020,"Financial Year (Apr - Mar), 2020"
Nagaland,2020,7627,0,0,107,0,6,20,113,0,44,430,613,8348,132,1837,1074,420,0,11811,2020,"Financial Year (Apr - Mar), 2020"
Odisha,2020,34531,0,0,8290,0,0,6,16134,0,4,158,16303,59124,8164,24423,3431,22509,1040,118691,2020,"Financial Year (Apr - Mar), 2020"
Punjab,2020,128218,15628,0,16694,-2,0,0,1799,27290,42,-29,29103,189641,4730,24084,8188,3190,25,229857,2020,"Financial Year (Apr - Mar), 2020"
Rajasthan,2020,168859,42300,7576,13824,0,15,26,8976,0,105,641,9763,242322,17377,50032,5864,27577,500,343672,2020,"Financial Year (Apr - Mar), 2020"
Sikkim,2020,4895,0,0,154,0,63,0,221,0,0,10,294,5342,110,1155,813,279,1,7700,2020,"Financial Year (Apr - Mar), 2020"
Tamil Nadu,2020,301069,22815,0,17775,0,429,27,10543,0,175,-67,11107,352766,18439,25835,9033,46632,140,452845,2020,"Financial Year (Apr - Mar), 2020"
Telangana,2020,164417,8923,0,8032,0,60,16,4214,0,70,16,4375,185747,1229,10417,3571,18335,48,219346,2020,"Financial Year (Apr - Mar), 2020"
Tripura,2020,9103,0,0,1073,-177,6,1,843,0,1,1,851,10851,186,4757,555,951,10,17310,2020,"Financial Year (Apr - Mar), 2020"
Uttar Pradesh,2020,291184,37106,9486,50615,0,1,4,15259,0,59,47927,63250,451641,11798,55648,70793,17549,30,607459,2020,"Financial Year (Apr - Mar), 2020"
Uttarakhand,2020,36452,0,0,9027,0,1,5,3999,36,116,1,4158,49637,903,8301,1762,5759,-113,66249,2020,"Financial Year (Apr - Mar), 2020"
West Bengal,2020,290253,0,2,63336,0,-1,0,32,0,38,6968,7037,360629,15310,16828,12696,42120,20,447602,2020,"Financial Year (Apr - Mar), 2020"
NCT Delhi,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,2820,0,0,0,0,2820,2020,"Financial Year (Apr - Mar), 2020"
Puducherry,2020,6000,0,0,0,0,0,0,1,0,0,970,971,6971,590,679,232,469,1,8942,2020,"Financial Year (Apr - Mar), 2020"
Andhra Pradesh,2021,232659,8256,1500,10119,1500,42,20,6788,0,96,-218,6728,260762,18530,17891,5373,54834,50,357439,2021,"Financial Year (Apr - Mar), 2021"
Arunachal Pradesh,2021,5269,0,0,1348,0,0,0,948,0,120,9,1077,7694,98,2589,2045,65,0,12491,2021,"Financial Year (Apr - Mar), 2021"
Assam,2021,52015,0,0,6445,0,0,2,5308,0,27,-2,5335,63795,1523,14358,4441,8760,200,93076,2021,"Financial Year (Apr - Mar), 2021"
Bihar,2021,127180,2332,19,15854,0,22,-1,9221,0,832,8,10082,155466,14664,9289,409,33228,350,213406,2021,"Financial Year (Apr - Mar), 2021"
Chhattisgarh,2021,60526,870,0,3997,530,20,1,5182,0,27,-1,5230,71153,3581,7985,9180,6006,95,98000,2021,"Financial Year (Apr - Mar), 2021"
Goa,2021,14810,0,0,1852,0,2,0,816,0,0,42,860,17522,1170,2652,948,2133,98,24522,2021,"Financial Year (Apr - Mar), 2021"
Gujarat,2021,236423,0,2,32126,0,0,0,18633,10,0,0,18643,287194,8981,10575,15503,31948,200,354401,2021,"Financial Year (Apr - Mar), 2021"
Haryana,2021,157539,25950,0,8361,0,0,1,4103,268,144,575,5091,196941,1932,18179,9709,7060,200,234021,2021,"Financial Year (Apr - Mar), 2021"
Himachal Pradesh,2021,32685,2891,0,4959,-24,22,0,3006,0,75,41,3143,43653,1021,16795,318,3207,5,64998,2021,"Financial Year (Apr - Mar), 2021"
Jammu and Kashmir,2021,41515,3538,0,3502,224,993,1,2531,0,0,-278,3248,52027,749,31871,2594,6840,1,94082,2021,"Financial Year (Apr - Mar), 2021"
Jharkhand,2021,49467,5553,6,6787,0,5,2,9031,0,90,1108,10236,72049,3294,782,5413,19434,1500,102472,2021,"Financial Year (Apr - Mar), 2021"
Karnataka,2021,242863,0,0,13733,0,40,4,4825,0,-134,-7,4729,261325,14551,39728,29371,25029,80,370084,2021,"Financial Year (Apr - Mar), 2021"
Kerala,2021,164489,0,1,18799,0,648,172,3185,0,373,790,5167,188456,9841,89373,4468,4101,100,296339,2021,"Financial Year (Apr - Mar), 2021"
Madhya Pradesh,2021,154440,7360,0,29251,0,16,3,11572,1,265,251,12108,203160,24859,22247,9991,17844,500,278601,2021,"Financial Year (Apr - Mar), 2021"
Maharashtra,2021,335489,4960,3,49374,0,-1,-1,22961,2,-60,-161,22740,412565,5081,29148,10992,76954,2150,536891,2021,"Financial Year (Apr - Mar), 2021"
Manipur,2021,6607,0,0,532,618,6,0,566,0,6,-26,552,8309,197,1837,819,1254,0,12416,2021,"Financial Year (Apr - Mar), 2021"
Meghalaya,2021,8395,125,0,528,0,0,0,759,0,38,10,807,9854,256,1838,383,825,305,13461,2021,"Financial Year (Apr - Mar), 2021"
Mizoram,2021,3350,0,0,163,0,-124,0,599,0,26,262,764,4276,290,2212,342,2205,0,9325,2021,"Financial Year (Apr - Mar), 2021"
Nagaland,2021,8836,0,0,94,0,3,20,94,0,53,373,542,9472,138,1937,1074,420,0,13041,2021,"Financial Year (Apr - Mar), 2021"
Odisha,2021,49871,0,0,6607,0,0,6,19313,0,0,24,19344,75822,8344,25423,3464,23451,1040,137544,2021,"Financial Year (Apr - Mar), 2021"
Punjab,2021,147588,15628,0,14852,-2,0,0,1828,26265,42,-29,28106,206173,5268,25224,9270,3228,25,249187,2021,"Financial Year (Apr - Mar), 2021"
Rajasthan,2021,203302,48936,7846,12239,0,13,26,9115,0,51,726,9931,282254,18916,53148,7752,28913,500,391482,2021,"Financial Year (Apr - Mar), 2021"
Sikkim,2021,5827,0,0,138,0,53,0,251,0,0,8,311,6276,108,1308,775,279,1,8746,2021,"Financial Year (Apr - Mar), 2021"
Tamil Nadu,2021,357088,22815,0,15972,0,371,27,11274,0,110,-73,11709,407584,21424,27242,9553,46218,140,512161,2021,"Financial Year (Apr - Mar), 2021"
Telangana,2021,193715,8923,0,7527,0,46,16,4514,0,54,-90,4538,214704,1251,11428,4107,20787,48,252325,2021,"Financial Year (Apr - Mar), 2021"
Tripura,2021,10961,0,0,953,-177,-8,1,1048,0,-1,-80,959,12697,157,4778,562,919,10,19123,2021,"Financial Year (Apr - Mar), 2021"
Uttar Pradesh,2021,337334,39134,10580,45493,0,0,4,19385,0,47,43625,63062,495602,11852,57406,82838,15164,30,662891,2021,"Financial Year (Apr - Mar), 2021"
Uttarakhand,2021,43252,0,2,8506,0,1,5,3999,36,195,0,4237,55997,992,8762,1702,5745,-363,72835,2021,"Financial Year (Apr - Mar), 2021"
West Bengal,2021,329487,0,2,56996,0,-1,0,32,0,28,7396,7455,393941,17174,18442,12699,48372,20,490647,2021,"Financial Year (Apr - Mar), 2021"
NCT Delhi,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,3600,2021,"Financial Year (Apr - Mar), 2021"
Puducherry,2021,6550,0,0,0,0,0,0,2,0,0,1325,1327,7877,504,674,232,467,1,9755,2021,"Financial Year (Apr - Mar), 2021"
