srcStateName,srcYear,Revenue Deficit,Pension expenditure,Primary Deficit,Gross Fiscal Deficit,Capital outlay,Social sector expenditure,Own tax revenue,Own non-tax revenue,Interest payments,Capital expenditure,YearCode,Year
Andhra Pradesh,2018-19,13899,15291,20099,35441,19976,76759,58677,4396,15342,35364,2018,"Financial Year (Apr - Mar), 2018"
Arunachal Pradesh,2018-19,-3767,894,1450,1976,5727,6372,1274,609,526,6284,2018,"Financial Year (Apr - Mar), 2018"
Assam,2018-19,-6580,8112,935,4779,11034,30245,16422,8221,3844,14952,2018,"Financial Year (Apr - Mar), 2018"
Bihar,2018-19,-6897,16028,3736,13807,21058,75530,30858,4131,10071,29759,2018,"Financial Year (Apr - Mar), 2018"
Chhattisgarh,2018-19,-684,5429,4640,8293,8903,32448,21889,7703,3653,10290,2018,"Financial Year (Apr - Mar), 2018"
Goa,2018-19,-355,1299,458,1803,2160,5144,4871,2874,1345,3083,2018,"Financial Year (Apr - Mar), 2018"
Gujarat,2018-19,-3212,18295,6182,26365,28062,66841,80565,13417,20183,45222,2018,"Financial Year (Apr - Mar), 2018"
Haryana,2018-19,11270,8140,8360,21912,15307,38815,42744,7976,13552,21841,2018,"Financial Year (Apr - Mar), 2018"
Himachal Pradesh,2018-19,-1522,4975,-522,3500,4584,14212,7680,2830,4022,8230,2018,"Financial Year (Apr - Mar), 2018"
Jammu and Kashmir,2018-19,4859,7519,7999,13208,8414,23568,10104,4349,5209,11054,2018,"Financial Year (Apr - Mar), 2018"
Jharkhand,2018-19,-5896,5989,1625,6252,10711,30220,14752,8258,4628,15132,2018,"Financial Year (Apr - Mar), 2018"
Karnataka,2018-19,-679,15109,23019,38442,34659,90875,97537,6773,15423,50229,2018,"Financial Year (Apr - Mar), 2018"
Kerala,2018-19,17462,19012,10210,26958,7431,43871,51019,11783,16748,18251,2018,"Financial Year (Apr - Mar), 2018"
Madhya Pradesh,2018-19,-8815,11984,8921,21616,29424,76630,52125,13288,12696,40661,2018,"Financial Year (Apr - Mar), 2018"
Maharashtra,2018-19,-11975,20490,-11006,23015,35049,126835,188341,15844,34021,61711,2018,"Financial Year (Apr - Mar), 2018"
Manipur,2018-19,-813,1534,340,917,1731,4468,1150,166,577,2186,2018,"Financial Year (Apr - Mar), 2018"
Meghalaya,2018-19,537,1005,1369,2026,1417,5242,1890,428,657,1903,2018,"Financial Year (Apr - Mar), 2018"
Mizoram,2018-19,-1534,970,-16,353,1868,4064,796,450,369,2153,2018,"Financial Year (Apr - Mar), 2018"
Nagaland,2018-19,-517,1553,311,1082,1596,4172,921,255,772,2238,2018,"Financial Year (Apr - Mar), 2018"
Odisha,2018-19,-14190,10520,4357,10157,23482,54094,31015,14277,5800,28592,2018,"Financial Year (Apr - Mar), 2018"
Punjab,2018-19,13135,10089,-247,16059,2412,21073,31811,7582,16306,11509,2018,"Financial Year (Apr - Mar), 2018"
Rajasthan,2018-19,28900,20396,12778,34473,19638,84468,58205,18603,21695,37666,2018,"Financial Year (Apr - Mar), 2018"
Sikkim,2018-19,-694,737,209,642,1291,2601,948,658,433,1714,2018,"Financial Year (Apr - Mar), 2018"
Tamil Nadu,2018-19,23459,29630,18578,47335,24311,86229,106138,14200,28757,45816,2018,"Financial Year (Apr - Mar), 2018"
Telangana,2018-19,-4337,11477,14358,26944,22641,56887,65040,10007,12586,38239,2018,"Financial Year (Apr - Mar), 2018"
Tripura,2018-19,-142,2036,321,1340,1481,6374,1862,372,1019,1980,2018,"Financial Year (Apr - Mar), 2018"
Uttar Pradesh,2018-19,-28250,44024,3161,35203,62463,134473,122816,30101,32042,89483,2018,"Financial Year (Apr - Mar), 2018"
Uttarakhand,2018-19,980,5396,2846,7321,6184,17508,12346,3310,4475,8425,2018,"Financial Year (Apr - Mar), 2018"
West Bengal,2018-19,10399,16063,4574,33486,23717,94698,61831,3658,28911,45364,2018,"Financial Year (Apr - Mar), 2018"
NCT Delhi,2018-19,-6261,2,-5104,-2237,3266,25264,36625,644,2867,9304,2018,"Financial Year (Apr - Mar), 2018"
Puducherry,2018-19,-14,868,-405,302,313,2748,2597,1584,707,955,2018,"Financial Year (Apr - Mar), 2018"
Andhra Pradesh,2019-20 (RE),26647,17382,24101,40494,12845,80571,57429,3324,16393,37237,2019,"Financial Year (Apr - Mar), 2019"
Arunachal Pradesh,2019-20 (RE),-3594,937,221,862,4445,6210,1255,861,640,4962,2019,"Financial Year (Apr - Mar), 2019"
Assam,2019-20 (RE),-812,8982,16488,21331,22724,53316,21853,10208,4843,26362,2019,"Financial Year (Apr - Mar), 2019"
Bihar,2019-20 (RE),18514,18535,47294,58343,38676,121446,34100,4806,11050,47913,2019,"Financial Year (Apr - Mar), 2019"
Chhattisgarh,2019-20 (RE),9429,5938,16279,21089,11737,44483,25190,9150,4810,13925,2019,"Financial Year (Apr - Mar), 2019"
Goa,2019-20 (RE),-270,1376,2515,4027,4268,7367,5271,3251,1512,5336,2019,"Financial Year (Apr - Mar), 2019"
Gujarat,2019-20 (RE),-1142,16383,4495,27058,27185,76850,97258,16582,22563,45160,2019,"Financial Year (Apr - Mar), 2019"
Haryana,2019-20 (RE),14675,9080,7274,23437,14489,46111,47842,10135,16162,22847,2019,"Financial Year (Apr - Mar), 2019"
Himachal Pradesh,2019-20 (RE),4007,6660,6076,10626,5943,17377,8005,2372,4550,9907,2019,"Financial Year (Apr - Mar), 2019"
Jammu and Kashmir,2019-20 (RE),-7558,6892,8653,12196,19660,30766,13221,4468,3543,21809,2019,"Financial Year (Apr - Mar), 2019"
Jharkhand,2019-20 (RE),-6542,5762,2636,7823,12864,40246,20908,11771,5187,18597,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,2019-20 (RE),-285,19555,20111,38752,36930,91626,101740,7508,18641,49344,2019,"Financial Year (Apr - Mar), 2019"
Kerala,2019-20 (RE),17474,20351,7752,26186,8013,40694,55771,13244,18435,18075,2019,"Financial Year (Apr - Mar), 2019"
Madhya Pradesh,2019-20 (RE),2698,13499,18942,32694,29159,85412,54638,10592,13751,41042,2019,"Financial Year (Apr - Mar), 2019"
Maharashtra,2019-20 (RE),31443,27399,44444,78617,46317,168826,199534,16851,34173,75547,2019,"Financial Year (Apr - Mar), 2019"
Manipur,2019-20 (RE),-286,1721,2132,2670,2959,7587,1246,163,539,3634,2019,"Financial Year (Apr - Mar), 2019"
Meghalaya,2019-20 (RE),-739,855,577,1323,1730,7472,2090,601,746,2502,2019,"Financial Year (Apr - Mar), 2019"
Mizoram,2019-20 (RE),595,1437,1856,2215,1572,4934,574,459,359,1932,2019,"Financial Year (Apr - Mar), 2019"
Nagaland,2019-20 (RE),574,1901,1561,2448,1866,5269,937,373,886,2631,2019,"Financial Year (Apr - Mar), 2019"
Odisha,2019-20 (RE),-6175,14030,11744,18184,23655,65579,33550,14500,6440,29389,2019,"Financial Year (Apr - Mar), 2019"
Punjab,2019-20 (RE),12627,10213,-600,17025,19641,24896,33739,7962,17625,32150,2019,"Financial Year (Apr - Mar), 2019"
Rajasthan,2019-20 (RE),28041,21632,8455,32214,17689,94110,70351,19597,23759,38656,2019,"Financial Year (Apr - Mar), 2019"
Sikkim,2019-20 (RE),-80,986,674,1211,1279,3214,985,735,537,1706,2019,"Financial Year (Apr - Mar), 2019"
Tamil Nadu,2019-20 (RE),25072,31008,23378,55058,31221,92186,120810,14195,31680,53309,2019,"Financial Year (Apr - Mar), 2019"
Telangana,2019-20 (RE),-104,10333,7528,21913,13166,52456,71328,12275,14385,31228,2019,"Financial Year (Apr - Mar), 2019"
Tripura,2019-20 (RE),2093,2525,2432,3575,1480,8651,2218,284,1142,2194,2019,"Financial Year (Apr - Mar), 2019"
Uttar Pradesh,2019-20 (RE),-26282,55005,15842,50405,79011,172192,137169,31376,34563,107845,2019,"Financial Year (Apr - Mar), 2019"
Uttarakhand,2019-20 (RE),-21,5743,1536,6673,6494,17662,12449,4942,5137,8500,2019,"Financial Year (Apr - Mar), 2019"
West Bengal,2019-20 (RE),6171,18325,2810,34116,26870,105366,65806,4018,31306,53671,2019,"Financial Year (Apr - Mar), 2019"
NCT Delhi,2019-20 (RE),-9354,3,-3275,-523,6512,29221,39550,800,2752,12592,2019,"Financial Year (Apr - Mar), 2019"
Puducherry,2019-20 (RE),-116,988,-406,334,443,3155,3123,1712,740,1218,2019,"Financial Year (Apr - Mar), 2019"
Andhra Pradesh,2020-21 (BE),18434,15280,27912,48296,29908,118076,70653,5866,20383,44397,2020,"Financial Year (Apr - Mar), 2020"
Arunachal Pradesh,2020-21 (BE),-6381,0,21,731,7115,6270,1316,600,711,7547,2020,"Financial Year (Apr - Mar), 2020"
Assam,2020-21 (BE),-9154,9293,3581,9383,18521,45566,23210,7304,5802,20985,2020,"Financial Year (Apr - Mar), 2020"
Bihar,2020-21 (BE),-19173,20468,7449,20374,38745,120145,34750,5239,12925,47010,2020,"Financial Year (Apr - Mar), 2020"
Chhattisgarh,2020-21 (BE),-2431,6328,5678,11518,13814,45986,26155,9215,5841,18167,2020,"Financial Year (Apr - Mar), 2020"
Goa,2020-21 (BE),-354,1428,2892,4649,4941,7996,5845,3836,1756,5822,2020,"Financial Year (Apr - Mar), 2020"
Gujarat,2020-21 (BE),-789,16114,9665,33536,33371,80789,105094,14600,23871,52471,2020,"Financial Year (Apr - Mar), 2020"
Haryana,2020-21 (BE),15374,9000,7544,25682,13201,55775,52096,15428,18138,21270,2020,"Financial Year (Apr - Mar), 2020"
Himachal Pradesh,2020-21 (BE),684,7266,2340,7272,6255,19093,9090,2410,4932,10008,2020,"Financial Year (Apr - Mar), 2020"
Jammu and Kashmir,2020-21 (BE),-24437,7045,3182,10073,34408,38973,13766,4065,6891,38764,2020,"Financial Year (Apr - Mar), 2020"
Jharkhand,2020-21 (BE),-1993,7060,2598,8243,8653,43664,22301,11820,5646,13054,2020,"Financial Year (Apr - Mar), 2020"
Karnataka,2020-21 (BE),-143,22211,23855,46072,43059,92158,111991,7767,22216,57617,2020,"Financial Year (Apr - Mar), 2020"
Kerala,2020-21 (BE),15202,20970,9445,29295,12913,53001,67520,14587,19850,23781,2020,"Financial Year (Apr - Mar), 2020"
Madhya Pradesh,2020-21 (BE),17514,16993,30899,47360,28350,89265,48801,8860,16460,42233,2020,"Financial Year (Apr - Mar), 2020"
Maharashtra,2020-21 (BE),9511,29223,19088,54618,45124,184567,225071,20506,35531,77067,2020,"Financial Year (Apr - Mar), 2020"
Manipur,2020-21 (BE),-1992,1893,787,1363,3356,9500,1325,257,577,3779,2020,"Financial Year (Apr - Mar), 2020"
Meghalaya,2020-21 (BE),-925,1208,689,1533,2382,7630,2377,690,843,2830,2020,"Financial Year (Apr - Mar), 2020"
Mizoram,2020-21 (BE),-763,1145,150,520,1321,4051,662,583,370,1693,2020,"Financial Year (Apr - Mar), 2020"
Nagaland,2020-21 (BE),-1024,2188,384,1355,2377,5877,1011,272,971,2926,2020,"Financial Year (Apr - Mar), 2020"
Odisha,2020-21 (BE),-9509,15900,10718,17878,26513,67997,38350,17650,7160,35209,2020,"Financial Year (Apr - Mar), 2020"
Punjab,2020-21 (BE),7712,12267,-247,18828,10280,31501,35824,8046,19075,23064,2020,"Financial Year (Apr - Mar), 2020"
Rajasthan,2020-21 (BE),12346,23404,8429,33923,21619,99366,77030,19596,25494,39981,2020,"Financial Year (Apr - Mar), 2020"
Sikkim,2020-21 (BE),-630,960,484,1046,1664,3509,1242,711,562,1756,2020,"Financial Year (Apr - Mar), 2020"
Tamil Nadu,2020-21 (BE),21618,35159,23035,59346,36368,107054,133530,15899,36312,59397,2020,"Financial Year (Apr - Mar), 2020"
Telangana,2020-21 (BE),-4482,10066,18576,33191,22061,84268,85300,30600,14615,44145,2020,"Financial Year (Apr - Mar), 2020"
Tripura,2020-21 (BE),241,2740,892,2149,1908,9159,2559,302,1257,2639,2020,"Financial Year (Apr - Mar), 2020"
Uttar Pradesh,2020-21 (BE),-27451,62062,15104,53196,81209,193467,170094,31179,38091,107744,2020,"Financial Year (Apr - Mar), 2020"
Uttarakhand,2020-21 (BE),-50,6305,1658,7550,7383,22293,13761,3539,5892,10037,2020,"Financial Year (Apr - Mar), 2020"
West Bengal,2020-21 (BE),0,20844,-1275,31483,31047,110105,70807,4266,32758,50279,2020,"Financial Year (Apr - Mar), 2020"
NCT Delhi,2020-21 (BE),-7239,3,2018,5080,9999,36122,44100,800,3062,16930,2020,"Financial Year (Apr - Mar), 2020"
Puducherry,2020-21 (BE),445,1176,83,820,372,3210,2633,1574,737,1267,2020,"Financial Year (Apr - Mar), 2020"
