srcStateName,srcYear,Type of production of crops,Crop type,Crop Production,Area,Estimate of yield,YearCode,Year
Jammu and Kashmir,2011-12,Foodgrains,Pulses,13.2,26,508,2011,"Financial Year (Apr - Mar), 2011"
Meghalaya,2015-16,Foodgrains,Rice,301.1,110.5,2726,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,2017-18,Foodgrains,Wheat,0,,,2017,"Financial Year (Apr - Mar), 2017"
Gujarat,2015-16,Foodgrains,Coarse Cereals,1549.7,933,1661,2015,"Financial Year (Apr - Mar), 2015"
Assam,2017-18,Non Foodgrains,Oilseeds,200.6,314.2,638,2017,"Financial Year (Apr - Mar), 2017"
Madhya Pradesh,2019-20,Fruits,Fruits,7757.2,375.5,,2019,"Financial Year (Apr - Mar), 2019"
Gujarat,2013-14,Foodgrains,Coarse Cereals,2120.6,1335,1588,2013,"Financial Year (Apr - Mar), 2013"
Chhattisgarh,2014-15,Foodgrains,Pulses,738.5,903,818,2014,"Financial Year (Apr - Mar), 2014"
Tripura,2019-20,Foodgrains,Coarse Cereals,24.1,16,1507,2019,"Financial Year (Apr - Mar), 2019"
Odisha,2012-13,Non Foodgrains,Cotton (Lintt),400,119,571,2012,"Financial Year (Apr - Mar), 2012"
Puducherry,2012-13,Foodgrains,Pulses,0.8,1.6,512,2012,"Financial Year (Apr - Mar), 2012"
Himachal Pradesh,2016-17,Fruits,Fruits,611.9,229.2,,2016,"Financial Year (Apr - Mar), 2016"
Uttarakhand,2018-19,Foodgrains,Pulses,55.3,60,922,2018,"Financial Year (Apr - Mar), 2018"
Himachal Pradesh,2018-19,Non Foodgrains,Sugarcane,33.3,1.7,19600,2018,"Financial Year (Apr - Mar), 2018"
Punjab,2011-12,Foodgrains,Pulses,15,19,789,2011,"Financial Year (Apr - Mar), 2011"
Tripura,2012-13,Non Foodgrains,Cotton (Lintt),,,,2012,"Financial Year (Apr - Mar), 2012"
Meghalaya,2014-15,Non Foodgrains,Oilseeds,14.9,13.9,1071,2014,"Financial Year (Apr - Mar), 2014"
Odisha,2017-18,Fruits,Fruits,2402.3,340.5,,2017,"Financial Year (Apr - Mar), 2017"
Uttar Pradesh,2011-12,Non Foodgrains,Oilseeds,935,1129,828,2011,"Financial Year (Apr - Mar), 2011"
Arunachal Pradesh,2016-17,Foodgrains,Pulses,13.1,13,1011,2016,"Financial Year (Apr - Mar), 2016"
Bihar,2013-14,Non Foodgrains,Oilseeds,146.2,123.7,1182,2013,"Financial Year (Apr - Mar), 2013"
Gujarat,2018-19,Foodgrains,Rice,1912.1,839,2279,2018,"Financial Year (Apr - Mar), 2018"
Andhra Pradesh,2019-20,Non Foodgrains,Sugarcane,6724,86,78186,2019,"Financial Year (Apr - Mar), 2019"
Puducherry,2011-12,Foodgrains,Coarse Cereals,0.1,0.1,2800,2011,"Financial Year (Apr - Mar), 2011"
Gujarat,2017-18,Foodgrains,Coarse Cereals,1782.2,914,1950,2017,"Financial Year (Apr - Mar), 2017"
Himachal Pradesh,2012-13,Non Foodgrains,Cotton (Lintt),,,,2012,"Financial Year (Apr - Mar), 2012"
Andhra Pradesh,2016-17,Foodgrains,Pulses,931,1413,659,2016,"Financial Year (Apr - Mar), 2016"
Chhattisgarh,2011-12,Foodgrains,Coarse Cereals,209.9,268.7,781,2011,"Financial Year (Apr - Mar), 2011"
Jammu and Kashmir,2011-12,Non Foodgrains,Sugarcane,,,1579,2011,"Financial Year (Apr - Mar), 2011"
Telangana,2014-15,Non Foodgrains,Cotton (Lintt),3800,1713,377,2014,"Financial Year (Apr - Mar), 2014"
Puducherry,2014-15,Non Foodgrains,Oilseeds,1.1,0.5,2280,2014,"Financial Year (Apr - Mar), 2014"
Kerala,2011-12,Non Foodgrains,Sugarcane,263,2.6,101165,2011,"Financial Year (Apr - Mar), 2011"
Telangana,2019-20,Foodgrains,Pulses,549.2,517,1062,2019,"Financial Year (Apr - Mar), 2019"
Assam,2017-18,Non Foodgrains,Sugarcane,1143,30.6,37402,2017,"Financial Year (Apr - Mar), 2017"
Meghalaya,2011-12,Fruits,Fruits,300.4,32.3,,2011,"Financial Year (Apr - Mar), 2011"
Puducherry,2019-20,Foodgrains,Wheat,,,1390,2019,"Financial Year (Apr - Mar), 2019"
Arunachal Pradesh,2012-13,Vegetables,Vegetables,37.6,1.5,,2012,"Financial Year (Apr - Mar), 2012"
Manipur,2011-12,Foodgrains,Coarse Cereals,45.9,24.9,1845,2011,"Financial Year (Apr - Mar), 2011"
Sikkim,2012-13,Fruits,Fruits,24,14.7,,2012,"Financial Year (Apr - Mar), 2012"
Haryana,2015-16,Non Foodgrains,Oilseeds,829.7,522.2,1589,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,2015-16,Non Foodgrains,Oilseeds,36.4,35,1040,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,2016-17,Foodgrains,Pulses,3768.1,4358.3,865,2016,"Financial Year (Apr - Mar), 2016"
Telangana,2014-15,Foodgrains,Coarse Cereals,2404,784,3066,2014,"Financial Year (Apr - Mar), 2014"
Maharashtra,2017-18,Foodgrains,Pulses,3347.8,4209,795,2017,"Financial Year (Apr - Mar), 2017"
Kerala,2014-15,Foodgrains,Coarse Cereals,0.3,0.4,857,2014,"Financial Year (Apr - Mar), 2014"
Maharashtra,2018-19,Foodgrains,Wheat,1249.2,834.4,1090,2018,"Financial Year (Apr - Mar), 2018"
Assam,2012-13,Foodgrains,Wheat,44.2,33.9,1304,2012,"Financial Year (Apr - Mar), 2012"
Tamil Nadu,2018-19,Foodgrains,Coarse Cereals,3708,924.1,4012,2018,"Financial Year (Apr - Mar), 2018"
Arunachal Pradesh,2013-14,Non Foodgrains,Sugarcane,30.4,1.6,19455,2013,"Financial Year (Apr - Mar), 2013"
Uttarakhand,2014-15,Non Foodgrains,Sugarcane,6165.1,101.7,60608,2014,"Financial Year (Apr - Mar), 2014"
West Bengal,2015-16,Foodgrains,Wheat,960,339.9,2825,2015,"Financial Year (Apr - Mar), 2015"
Meghalaya,2013-14,Foodgrains,Wheat,0.8,0.4,1460,2013,"Financial Year (Apr - Mar), 2013"
Tamil Nadu,2017-18,Non Foodgrains,Sugarcane,17154,171.9,99814,2017,"Financial Year (Apr - Mar), 2017"
Haryana,2019-20,Vegetables,Vegetables,5649.8,367.9,,2019,"Financial Year (Apr - Mar), 2019"
Mizoram,2012-13,Non Foodgrains,Oilseeds,2.2,2.1,1078,2012,"Financial Year (Apr - Mar), 2012"
Jharkhand,2019-20,Non Foodgrains,Sugarcane,0,,,2019,"Financial Year (Apr - Mar), 2019"
Jharkhand,2011-12,Foodgrains,Coarse Cereals,330.1,228.8,1443,2011,"Financial Year (Apr - Mar), 2011"
West Bengal,2011-12,Fruits,Fruits,3055.4,216.6,,2011,"Financial Year (Apr - Mar), 2011"
Meghalaya,2012-13,Foodgrains,Rice,232,109.2,2125,2012,"Financial Year (Apr - Mar), 2012"
Jammu and Kashmir,2017-18,Vegetables,Vegetables,1226,56.3,,2017,"Financial Year (Apr - Mar), 2017"
Odisha,2013-14,Fruits,Fruits,2148.3,325.9,,2013,"Financial Year (Apr - Mar), 2013"
Haryana,2018-19,Fruits,Fruits,712,67.3,,2018,"Financial Year (Apr - Mar), 2018"
Gujarat,2015-16,Vegetables,Vegetables,13401.4,695.8,,2015,"Financial Year (Apr - Mar), 2015"
Uttarakhand,2015-16,Foodgrains,Rice,639.1,264.1,2420,2015,"Financial Year (Apr - Mar), 2015"
Odisha,2012-13,Non Foodgrains,Raw Jute & Mesta,83.8,15.5,976,2012,"Financial Year (Apr - Mar), 2012"
Telangana,2016-17,Foodgrains,Wheat,7,5,1400,2016,"Financial Year (Apr - Mar), 2016"
Telangana,2016-17,Foodgrains,Rice,5173.4,1682.2,3075,2016,"Financial Year (Apr - Mar), 2016"
Gujarat,2014-15,Non Foodgrains,Cotton (Lintt),10500,2773,644,2014,"Financial Year (Apr - Mar), 2014"
Jharkhand,2018-19,Vegetables,Vegetables,3501.5,293.4,,2018,"Financial Year (Apr - Mar), 2018"
Puducherry,2015-16,Foodgrains,Coarse Cereals,0,,2429,2015,"Financial Year (Apr - Mar), 2015"
Tripura,2019-20,Non Foodgrains,Oilseeds,14.4,17.2,838,2019,"Financial Year (Apr - Mar), 2019"
Manipur,2011-12,Non Foodgrains,Cotton (Lintt),,,,2011,"Financial Year (Apr - Mar), 2011"
Uttar Pradesh,2017-18,Foodgrains,Wheat,31879.1,9753,3269,2017,"Financial Year (Apr - Mar), 2017"
Sikkim,2017-18,Foodgrains,Pulses,5.1,5.4,954,2017,"Financial Year (Apr - Mar), 2017"
West Bengal,2019-20,Vegetables,Vegetables,29293.2,1496.1,,2019,"Financial Year (Apr - Mar), 2019"
Andhra Pradesh,2014-15,Non Foodgrains,Cotton (Lintt),2841,821,588,2014,"Financial Year (Apr - Mar), 2014"
Arunachal Pradesh,2018-19,Non Foodgrains,Sugarcane,45.8,2.1,21500,2018,"Financial Year (Apr - Mar), 2018"
Uttarakhand,2014-15,Foodgrains,Rice,603.7,261.7,2307,2014,"Financial Year (Apr - Mar), 2014"
Madhya Pradesh,2011-12,Foodgrains,Wheat,11538.5,4889.2,2360,2011,"Financial Year (Apr - Mar), 2011"
Manipur,2015-16,Vegetables,Vegetables,316.5,34.4,,2015,"Financial Year (Apr - Mar), 2015"
Tripura,2012-13,Fruits,Fruits,697.9,60.1,,2012,"Financial Year (Apr - Mar), 2012"
Mizoram,2014-15,Foodgrains,Wheat,,,2602,2014,"Financial Year (Apr - Mar), 2014"
Meghalaya,2011-12,Foodgrains,Coarse Cereals,28.3,19.6,1443,2011,"Financial Year (Apr - Mar), 2011"
West Bengal,2015-16,Non Foodgrains,Oilseeds,926.9,793.5,1168,2015,"Financial Year (Apr - Mar), 2015"
Sikkim,2014-15,Foodgrains,Wheat,0.4,0.4,1077,2014,"Financial Year (Apr - Mar), 2014"
Punjab,2016-17,Vegetables,Vegetables,4564.9,232.4,,2016,"Financial Year (Apr - Mar), 2016"
Assam,2014-15,Non Foodgrains,Oilseeds,205.7,306.9,670,2014,"Financial Year (Apr - Mar), 2014"
Maharashtra,2017-18,Fruits,Fruits,11728.7,753.2,,2017,"Financial Year (Apr - Mar), 2017"
Tamil Nadu,2016-17,Non Foodgrains,Cotton (Lintt),359,142,430,2016,"Financial Year (Apr - Mar), 2016"
Maharashtra,2014-15,Non Foodgrains,Raw Jute & Mesta,,,,2014,"Financial Year (Apr - Mar), 2014"
Himachal Pradesh,2019-20,Non Foodgrains,Oilseeds,6.4,10.4,619,2019,"Financial Year (Apr - Mar), 2019"
Maharashtra,2011-12,Non Foodgrains,Oilseeds,4485,3667,1223,2011,"Financial Year (Apr - Mar), 2011"
Haryana,2018-19,Foodgrains,Wheat,12574,2553.1,,2018,"Financial Year (Apr - Mar), 2018"
Jammu and Kashmir,2014-15,Foodgrains,Rice,517.2,276.4,1871,2014,"Financial Year (Apr - Mar), 2014"
Uttar Pradesh,2014-15,Non Foodgrains,Cotton (Lintt),,,,2014,"Financial Year (Apr - Mar), 2014"
Karnataka,2014-15,Vegetables,Vegetables,8828.4,485.9,,2014,"Financial Year (Apr - Mar), 2014"
Mizoram,2015-16,Non Foodgrains,Oilseeds,3,2.7,1112,2015,"Financial Year (Apr - Mar), 2015"
Manipur,2017-18,Non Foodgrains,Cotton (Lintt),,,,2017,"Financial Year (Apr - Mar), 2017"
Mizoram,2016-17,Foodgrains,Pulses,4.8,3.5,1352,2016,"Financial Year (Apr - Mar), 2016"
Manipur,2018-19,Foodgrains,Rice,401.6,233.5,1720,2018,"Financial Year (Apr - Mar), 2018"
Uttarakhand,2018-19,Foodgrains,Rice,617.6,256,2412,2018,"Financial Year (Apr - Mar), 2018"
Uttar Pradesh,2013-14,Foodgrains,Pulses,1697.4,2305,736,2013,"Financial Year (Apr - Mar), 2013"
Nagaland,2017-18,Foodgrains,Pulses,46.1,39.7,1159,2017,"Financial Year (Apr - Mar), 2017"
Assam,2011-12,Vegetables,Vegetables,3045.6,266,,2011,"Financial Year (Apr - Mar), 2011"
Punjab,2014-15,Non Foodgrains,Cotton (Lintt),1600,420,648,2014,"Financial Year (Apr - Mar), 2014"
Telangana,2013-14,Non Foodgrains,Raw Jute & Mesta,1,,,2013,"Financial Year (Apr - Mar), 2013"
Rajasthan,2013-14,Vegetables,Vegetables,1114.1,148.9,,2013,"Financial Year (Apr - Mar), 2013"
Nagaland,2019-20,Non Foodgrains,Sugarcane,193.6,4.5,43510,2019,"Financial Year (Apr - Mar), 2019"
Goa,2015-16,Foodgrains,Wheat,,,2919,2015,"Financial Year (Apr - Mar), 2015"
Meghalaya,2011-12,Foodgrains,Pulses,3.7,4.2,896,2011,"Financial Year (Apr - Mar), 2011"
Gujarat,2015-16,Foodgrains,Wheat,2484,851,,2015,"Financial Year (Apr - Mar), 2015"
Tripura,2016-17,Foodgrains,Wheat,0.5,0.2,2300,2016,"Financial Year (Apr - Mar), 2016"
Andhra Pradesh,2018-19,Foodgrains,Pulses,739.6,1326,558,2018,"Financial Year (Apr - Mar), 2018"
Haryana,2016-17,Non Foodgrains,Cotton (Lintt),2041,570,609,2016,"Financial Year (Apr - Mar), 2016"
Uttar Pradesh,2014-15,Fruits,Fruits,7559,372.3,,2014,"Financial Year (Apr - Mar), 2014"
Chhattisgarh,2013-14,Foodgrains,Pulses,484.5,846.3,573,2013,"Financial Year (Apr - Mar), 2013"
Jharkhand,2018-19,Non Foodgrains,Sugarcane,0,,,2018,"Financial Year (Apr - Mar), 2018"
Punjab,2018-19,Foodgrains,Wheat,18261.8,3520,5188,2018,"Financial Year (Apr - Mar), 2018"
Punjab,2014-15,Foodgrains,Wheat,15050,3505,4294,2014,"Financial Year (Apr - Mar), 2014"
Chhattisgarh,2017-18,Non Foodgrains,Sugarcane,1158.5,24.1,48070,2017,"Financial Year (Apr - Mar), 2017"
Uttarakhand,2015-16,Foodgrains,Pulses,51.6,62.9,821,2015,"Financial Year (Apr - Mar), 2015"
Haryana,2014-15,Fruits,Fruits,703.7,60.5,,2014,"Financial Year (Apr - Mar), 2014"
Sikkim,2016-17,Vegetables,Vegetables,190.7,25.5,,2016,"Financial Year (Apr - Mar), 2016"
Tripura,2011-12,Foodgrains,Pulses,6,8.6,697,2011,"Financial Year (Apr - Mar), 2011"
Odisha,2015-16,Fruits,Fruits,2386.9,340.8,,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,2015-16,Non Foodgrains,Oilseeds,149.6,298.9,501,2015,"Financial Year (Apr - Mar), 2015"
Bihar,2015-16,Foodgrains,Pulses,420.7,497.9,845,2015,"Financial Year (Apr - Mar), 2015"
Karnataka,2011-12,Non Foodgrains,Cotton (Lintt),1200,554,368,2011,"Financial Year (Apr - Mar), 2011"
Sikkim,2011-12,Vegetables,Vegetables,127.7,25,,2011,"Financial Year (Apr - Mar), 2011"
Himachal Pradesh,2017-18,Foodgrains,Wheat,565.7,318.9,,2017,"Financial Year (Apr - Mar), 2017"
Haryana,2011-12,Foodgrains,Coarse Cereals,1387,693,2001,2011,"Financial Year (Apr - Mar), 2011"
Arunachal Pradesh,2013-14,Foodgrains,Rice,276.2,132,2092,2013,"Financial Year (Apr - Mar), 2013"
Uttarakhand,2017-18,Foodgrains,Coarse Cereals,286.9,204,1406,2017,"Financial Year (Apr - Mar), 2017"
Manipur,2015-16,Foodgrains,Pulses,29.8,30.9,963,2015,"Financial Year (Apr - Mar), 2015"
Bihar,2013-14,Fruits,Fruits,4013.6,302.1,,2013,"Financial Year (Apr - Mar), 2013"
Nagaland,2012-13,Non Foodgrains,Raw Jute & Mesta,7.7,4.8,289,2012,"Financial Year (Apr - Mar), 2012"
Punjab,2013-14,Non Foodgrains,Cotton (Lintt),1968,446,750,2013,"Financial Year (Apr - Mar), 2013"
Jharkhand,2013-14,Foodgrains,Coarse Cereals,526.1,269.5,1952,2013,"Financial Year (Apr - Mar), 2013"
Rajasthan,2013-14,Fruits,Fruits,581.8,37.4,,2013,"Financial Year (Apr - Mar), 2013"
Odisha,2011-12,Non Foodgrains,Cotton (Lintt),325,102,542,2011,"Financial Year (Apr - Mar), 2011"
Delhi,2012-13,Foodgrains,Wheat,65.3,14.8,4406,2012,"Financial Year (Apr - Mar), 2012"
Himachal Pradesh,2014-15,Foodgrains,Wheat,646.5,330.4,,2014,"Financial Year (Apr - Mar), 2014"
Himachal Pradesh,2013-14,Foodgrains,Wheat,670.7,358.1,,2013,"Financial Year (Apr - Mar), 2013"
Tamil Nadu,2018-19,Foodgrains,Rice,6130.9,1721.3,3562,2018,"Financial Year (Apr - Mar), 2018"
Rajasthan,2019-20,Foodgrains,Wheat,10916.1,3118,3501,2019,"Financial Year (Apr - Mar), 2019"
Tripura,2016-17,Non Foodgrains,Oilseeds,12.5,15.4,814,2016,"Financial Year (Apr - Mar), 2016"
Telangana,2013-14,Foodgrains,Coarse Cereals,2898.7,791.6,3662,2013,"Financial Year (Apr - Mar), 2013"
Meghalaya,2018-19,Foodgrains,Coarse Cereals,44.4,21.1,2108,2018,"Financial Year (Apr - Mar), 2018"
Assam,2014-15,Foodgrains,Rice,5222.7,2495.3,2093,2014,"Financial Year (Apr - Mar), 2014"
Andhra Pradesh,2015-16,Vegetables,Vegetables,5442.8,238.4,,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,2017-18,Non Foodgrains,Sugarcane,7789.6,99,78683,2017,"Financial Year (Apr - Mar), 2017"
Rajasthan,2012-13,Non Foodgrains,Raw Jute & Mesta,,,,2012,"Financial Year (Apr - Mar), 2012"
Andhra Pradesh,2014-15,Foodgrains,Coarse Cereals,2310.2,526,4392,2014,"Financial Year (Apr - Mar), 2014"
Meghalaya,2017-18,Foodgrains,Wheat,0.9,0.5,1657,2017,"Financial Year (Apr - Mar), 2017"
Rajasthan,2014-15,Vegetables,Vegetables,1433.2,153.9,,2014,"Financial Year (Apr - Mar), 2014"
Puducherry,2015-16,Foodgrains,Wheat,,,1324,2015,"Financial Year (Apr - Mar), 2015"
Haryana,2017-18,Non Foodgrains,Cotton (Lintt),1627,665,416,2017,"Financial Year (Apr - Mar), 2017"
Telangana,2016-17,Fruits,Fruits,1200.3,166.2,,2016,"Financial Year (Apr - Mar), 2016"
West Bengal,2019-20,Non Foodgrains,Raw Jute & Mesta,8067.4,517.7,2805,2019,"Financial Year (Apr - Mar), 2019"
Telangana,2015-16,Foodgrains,Wheat,8.5,5,1696,2015,"Financial Year (Apr - Mar), 2015"
Jharkhand,2015-16,Non Foodgrains,Raw Jute & Mesta,,,,2015,"Financial Year (Apr - Mar), 2015"
Tripura,2013-14,Fruits,Fruits,786.4,68.4,,2013,"Financial Year (Apr - Mar), 2013"
Uttarakhand,2017-18,Non Foodgrains,Sugarcane,6271.4,90,69682,2017,"Financial Year (Apr - Mar), 2017"
Uttar Pradesh,2015-16,Fruits,Fruits,10296.1,468.9,,2015,"Financial Year (Apr - Mar), 2015"
Uttarakhand,2014-15,Foodgrains,Pulses,54.6,66.5,821,2014,"Financial Year (Apr - Mar), 2014"
Himachal Pradesh,2017-18,Foodgrains,Rice,114.8,71.6,1603,2017,"Financial Year (Apr - Mar), 2017"
Tripura,2018-19,Vegetables,Vegetables,813.4,46.7,,2018,"Financial Year (Apr - Mar), 2018"
Goa,2017-18,Foodgrains,Wheat,,,2898,2017,"Financial Year (Apr - Mar), 2017"
Himachal Pradesh,2013-14,Fruits,Fruits,866.3,220.7,,2013,"Financial Year (Apr - Mar), 2013"
Madhya Pradesh,2018-19,Non Foodgrains,Cotton (Lintt),2329,614,645,2018,"Financial Year (Apr - Mar), 2018"
Jammu and Kashmir,2013-14,Non Foodgrains,Cotton (Lintt),,,,2013,"Financial Year (Apr - Mar), 2013"
Chhattisgarh,2014-15,Vegetables,Vegetables,5812.3,425.1,,2014,"Financial Year (Apr - Mar), 2014"
Meghalaya,2011-12,Foodgrains,Wheat,0.6,0.4,1564,2011,"Financial Year (Apr - Mar), 2011"
Kerala,2016-17,Foodgrains,Wheat,,,1638,2016,"Financial Year (Apr - Mar), 2016"
Chhattisgarh,2018-19,Foodgrains,Wheat,162.7,105.1,1548,2018,"Financial Year (Apr - Mar), 2018"
Nagaland,2012-13,Non Foodgrains,Sugarcane,187.6,4.3,43520,2012,"Financial Year (Apr - Mar), 2012"
Nagaland,2014-15,Non Foodgrains,Oilseeds,68.1,65,1048,2014,"Financial Year (Apr - Mar), 2014"
Tamil Nadu,2014-15,Non Foodgrains,Oilseeds,985.3,415,2374,2014,"Financial Year (Apr - Mar), 2014"
Karnataka,2019-20,Fruits,Fruits,6558.4,373.8,,2019,"Financial Year (Apr - Mar), 2019"
Arunachal Pradesh,2011-12,Fruits,Fruits,308.9,85.1,,2011,"Financial Year (Apr - Mar), 2011"
Goa,2013-14,Foodgrains,Coarse Cereals,,,500,2013,"Financial Year (Apr - Mar), 2013"
Haryana,2016-17,Non Foodgrains,Sugarcane,8223,102,80618,2016,"Financial Year (Apr - Mar), 2016"
Kerala,2017-18,Foodgrains,Rice,521.3,189.1,2757,2017,"Financial Year (Apr - Mar), 2017"
Bihar,2012-13,Foodgrains,Coarse Cereals,2510.3,713.7,3517,2012,"Financial Year (Apr - Mar), 2012"
Madhya Pradesh,2012-13,Vegetables,Vegetables,12574,612.8,,2012,"Financial Year (Apr - Mar), 2012"
Odisha,2017-18,Foodgrains,Wheat,0.4,0.2,1836,2017,"Financial Year (Apr - Mar), 2017"
Mizoram,2014-15,Foodgrains,Rice,60.7,36.9,1643,2014,"Financial Year (Apr - Mar), 2014"
Assam,2015-16,Non Foodgrains,Oilseeds,215.2,310.1,694,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,2011-12,Non Foodgrains,Raw Jute & Mesta,202,26,1398,2011,"Financial Year (Apr - Mar), 2011"
Rajasthan,2019-20,Non Foodgrains,Cotton (Lintt),2788,760,624,2019,"Financial Year (Apr - Mar), 2019"
Jharkhand,2014-15,Foodgrains,Pulses,597.1,594.7,1004,2014,"Financial Year (Apr - Mar), 2014"
Madhya Pradesh,2011-12,Non Foodgrains,Oilseeds,7727.8,7201.6,1073,2011,"Financial Year (Apr - Mar), 2011"
Rajasthan,2014-15,Foodgrains,Wheat,9823.9,3318.2,2961,2014,"Financial Year (Apr - Mar), 2014"
Telangana,2013-14,Fruits,Fruits,4441,364.5,,2013,"Financial Year (Apr - Mar), 2013"
Jammu and Kashmir,2019-20,Non Foodgrains,Oilseeds,42.3,49.3,859,2019,"Financial Year (Apr - Mar), 2019"
Chhattisgarh,2013-14,Vegetables,Vegetables,5465.9,403.4,,2013,"Financial Year (Apr - Mar), 2013"
Jammu and Kashmir,2014-15,Non Foodgrains,Sugarcane,2,1.3,1496,2014,"Financial Year (Apr - Mar), 2014"
Tamil Nadu,2014-15,Foodgrains,Wheat,,,,2014,"Financial Year (Apr - Mar), 2014"
Sikkim,2012-13,Foodgrains,Rice,21.3,11.9,1790,2012,"Financial Year (Apr - Mar), 2012"
Assam,2011-12,Foodgrains,Rice,4516.3,2537,1780,2011,"Financial Year (Apr - Mar), 2011"
Nagaland,2011-12,Non Foodgrains,Oilseeds,66.8,64,1043,2011,"Financial Year (Apr - Mar), 2011"
Manipur,2012-13,Foodgrains,Wheat,6,2.4,2478,2012,"Financial Year (Apr - Mar), 2012"
Rajasthan,2019-20,Non Foodgrains,Sugarcane,326.2,4.5,73038,2019,"Financial Year (Apr - Mar), 2019"
West Bengal,2014-15,Fruits,Fruits,3313.7,228.3,,2014,"Financial Year (Apr - Mar), 2014"
Karnataka,2017-18,Foodgrains,Pulses,1951.2,3023.7,645,2017,"Financial Year (Apr - Mar), 2017"
Tripura,2013-14,Non Foodgrains,Cotton (Lintt),,,,2013,"Financial Year (Apr - Mar), 2013"
Maharashtra,2017-18,Foodgrains,Wheat,1696.8,1024,1193,2017,"Financial Year (Apr - Mar), 2017"
Tripura,2014-15,Foodgrains,Pulses,8.4,11.7,718,2014,"Financial Year (Apr - Mar), 2014"
Nagaland,2011-12,Foodgrains,Pulses,34.7,31.8,1091,2011,"Financial Year (Apr - Mar), 2011"
Rajasthan,2011-12,Foodgrains,Wheat,9319.6,2935.3,3175,2011,"Financial Year (Apr - Mar), 2011"
Arunachal Pradesh,2014-15,Foodgrains,Coarse Cereals,102,74,1378,2014,"Financial Year (Apr - Mar), 2014"
West Bengal,2011-12,Vegetables,Vegetables,23415.7,1330.9,,2011,"Financial Year (Apr - Mar), 2011"
Assam,2018-19,Fruits,Fruits,2518.9,167.2,,2018,"Financial Year (Apr - Mar), 2018"
Tripura,2016-17,Non Foodgrains,Sugarcane,44.1,0.8,53650,2016,"Financial Year (Apr - Mar), 2016"
Arunachal Pradesh,2019-20,Foodgrains,Pulses,14.2,13.4,1060,2019,"Financial Year (Apr - Mar), 2019"
Uttar Pradesh,2019-20,Non Foodgrains,Cotton (Lintt),,,,2019,"Financial Year (Apr - Mar), 2019"
Goa,2018-19,Foodgrains,Coarse Cereals,,,,2018,"Financial Year (Apr - Mar), 2018"
Uttarakhand,2011-12,Non Foodgrains,Oilseeds,32.5,30,1082,2011,"Financial Year (Apr - Mar), 2011"
Himachal Pradesh,2012-13,Vegetables,Vegetables,1521.1,79.5,,2012,"Financial Year (Apr - Mar), 2012"
Tripura,2015-16,Foodgrains,Coarse Cereals,12.2,8.7,1392,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,2018-19,Foodgrains,Pulses,12,13.3,901,2018,"Financial Year (Apr - Mar), 2018"
Arunachal Pradesh,2015-16,Foodgrains,Wheat,7.7,3.9,1969,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,2012-13,Foodgrains,Coarse Cereals,4429.3,4971,891,2012,"Financial Year (Apr - Mar), 2012"
Telangana,2015-16,Non Foodgrains,Cotton (Lintt),3661,1773,351,2015,"Financial Year (Apr - Mar), 2015"
West Bengal,2013-14,Foodgrains,Rice,15370.7,5513.7,2788,2013,"Financial Year (Apr - Mar), 2013"
Meghalaya,2016-17,Vegetables,Vegetables,523.4,49.5,,2016,"Financial Year (Apr - Mar), 2016"
Himachal Pradesh,2017-18,Non Foodgrains,Oilseeds,5.8,9.8,590,2017,"Financial Year (Apr - Mar), 2017"
Telangana,2012-13,Foodgrains,Wheat,9,,,2012,"Financial Year (Apr - Mar), 2012"
Jammu and Kashmir,2013-14,Fruits,Fruits,2073.9,355.2,,2013,"Financial Year (Apr - Mar), 2013"
Uttarakhand,2013-14,Foodgrains,Coarse Cereals,298.9,225,1329,2013,"Financial Year (Apr - Mar), 2013"
Himachal Pradesh,2012-13,Fruits,Fruits,555.7,218,,2012,"Financial Year (Apr - Mar), 2012"
Maharashtra,2015-16,Foodgrains,Rice,2593,1503,1725,2015,"Financial Year (Apr - Mar), 2015"
Puducherry,2016-17,Non Foodgrains,Sugarcane,0,,,2016,"Financial Year (Apr - Mar), 2016"
Mizoram,2016-17,Vegetables,Vegetables,179.9,37,,2016,"Financial Year (Apr - Mar), 2016"
Meghalaya,2012-13,Foodgrains,Wheat,0.7,0.4,1528,2012,"Financial Year (Apr - Mar), 2012"
Kerala,2018-19,Vegetables,Vegetables,3042.9,98.8,,2018,"Financial Year (Apr - Mar), 2018"
Tamil Nadu,2014-15,Vegetables,Vegetables,7521,284.8,,2014,"Financial Year (Apr - Mar), 2014"
Himachal Pradesh,2016-17,Foodgrains,Rice,146.6,74.5,1968,2016,"Financial Year (Apr - Mar), 2016"
Himachal Pradesh,2011-12,Foodgrains,Coarse Cereals,752.1,324.4,2318,2011,"Financial Year (Apr - Mar), 2011"
Delhi,2018-19,Non Foodgrains,Oilseeds,4.5,3.6,1262,2018,"Financial Year (Apr - Mar), 2018"
