ROWID,Country,State lgd code,State,YearCode,Year,Per capita availability of power,Availability of power ,Installed capacity of  power,Power requirement,Length of national highways ,Length of railway route,Length of roads,Length of state highways,Electricity transmission and distribution losses (%),Telephones per 100 population,Score of ease of doing business,Ease of doing business rank
197,India,11,Sikkim,2021,"Financial Year (Apr - Mar), 2021",872.9,55,678,55,709,,,,,,,
198,India,12,Arunachal Pradesh,2004,"Financial Year (Apr - Mar), 2004",,,,,,1,,,,,,
199,India,12,Arunachal Pradesh,2005,"Financial Year (Apr - Mar), 2005",143.9,16,187,16,392,1,17751,,42.9,,,
200,India,12,Arunachal Pradesh,2006,"Financial Year (Apr - Mar), 2006",187.6,21,179,21,392,1,17216,,49.7,,,
201,India,12,Arunachal Pradesh,2007,"Financial Year (Apr - Mar), 2007",235.9,26,179,29,392,1,17430,,57.8,,,
202,India,12,Arunachal Pradesh,2008,"Financial Year (Apr - Mar), 2008",275.1,30,180,39,392,1,16494,,67.2,,,
203,India,12,Arunachal Pradesh,2009,"Financial Year (Apr - Mar), 2009",246.8,27,180,43,1992,1,20384,,46.9,,,
204,India,12,Arunachal Pradesh,2010,"Financial Year (Apr - Mar), 2010",296.0,33,202,40,1992,1,21122,,48.0,,,
205,India,12,Arunachal Pradesh,2011,"Financial Year (Apr - Mar), 2011",397.1,44,213,51,1992,1,21555,,47.1,,,
206,India,12,Arunachal Pradesh,2012,"Financial Year (Apr - Mar), 2012",400.0,55,214,60,2027,1,14980,,46.3,,,
207,India,12,Arunachal Pradesh,2013,"Financial Year (Apr - Mar), 2013",400.7,55,249,59,2027,1,28095,,46.0,,,
208,India,12,Arunachal Pradesh,2014,"Financial Year (Apr - Mar), 2014",373.9,52,249,55,2027,12,24469,,46.3,,,
209,India,12,Arunachal Pradesh,2015,"Financial Year (Apr - Mar), 2015",441.2,61,261,68,2513,12,25362,,46.2,,1,32
210,India,12,Arunachal Pradesh,2016,"Financial Year (Apr - Mar), 2016",427.5,59,258,63,2513,12,30692,,50.6,,0,31
211,India,12,Arunachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",515.7,71,274,73,2537,12,37025,,49.4,,,34
212,India,12,Arunachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",570.7,79,301,80,,12,50555,,48.32,,,
213,India,12,Arunachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",618.4,86,337,86,2537,12,,,50.83,,,29
214,India,12,Arunachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",539.2,75,379,75,,12,,,,,,
215,India,12,Arunachal Pradesh,2021,"Financial Year (Apr - Mar), 2021",514.0,71,765,72,2537,,,,,,,
216,India,13,Nagaland,2004,"Financial Year (Apr - Mar), 2004",,,,,,13,,,,,,
217,India,13,Nagaland,2005,"Financial Year (Apr - Mar), 2005",162.8,32,120,33,494,13,26241,404,48.3,,,
218,India,13,Nagaland,2006,"Financial Year (Apr - Mar), 2006",195.4,39,103,41,494,13,22085,404,59.0,,,
219,India,13,Nagaland,2007,"Financial Year (Apr - Mar), 2007",164.8,33,103,34,494,13,21947,404,54.8,,,
220,India,13,Nagaland,2008,"Financial Year (Apr - Mar), 2008",167.8,33,103,38,494,13,22304,404,55.6,,,
221,India,13,Nagaland,2009,"Financial Year (Apr - Mar), 2009",219.1,44,103,48,494,13,32597,541,58.3,,,
222,India,13,Nagaland,2010,"Financial Year (Apr - Mar), 2010",234.2,47,103,53,494,13,33423,683,56.9,,,
223,India,13,Nagaland,2011,"Financial Year (Apr - Mar), 2011",261.3,52,103,58,494,13,34146,763,48.2,,,
224,India,13,Nagaland,2012,"Financial Year (Apr - Mar), 2012",258.0,51,103,56,494,13,35189,1001,41.5,,,
225,India,13,Nagaland,2013,"Financial Year (Apr - Mar), 2013",270.1,54,117,57,494,13,38281,1204,40.2,,,
226,India,13,Nagaland,2014,"Financial Year (Apr - Mar), 2014",283.2,56,118,58,741,13,36600,767,35.8,,,
227,India,13,Nagaland,2015,"Financial Year (Apr - Mar), 2015",333.7,66,131,69,1080,13,37176,767,26.5,,3,31
228,India,13,Nagaland,2016,"Financial Year (Apr - Mar), 2016",372.6,74,140,76,1150,11,36114,722,29.9,,1,26
229,India,13,Nagaland,2017,"Financial Year (Apr - Mar), 2017",375.1,74,155,76,1547,11,36239,722,20.8,,14,28
230,India,13,Nagaland,2018,"Financial Year (Apr - Mar), 2018",389.3,77,159,80,,11,36703,722,19.67,,,
231,India,13,Nagaland,2019,"Financial Year (Apr - Mar), 2019",408.5,80,170,90,1548,11,,,20.67,,,29
232,India,13,Nagaland,2020,"Financial Year (Apr - Mar), 2020",415.7,81,175,81,,11,,,,,,
233,India,13,Nagaland,2021,"Financial Year (Apr - Mar), 2021",422.4,82,179,83,1548,,,,,,,
234,India,14,Manipur,2004,"Financial Year (Apr - Mar), 2004",,,,,,1,,,,,,
235,India,14,Manipur,2005,"Financial Year (Apr - Mar), 2005",241.4,52,159,54,959,1,16502,1118,70.6,,,
236,India,14,Manipur,2006,"Financial Year (Apr - Mar), 2006",225.7,49,158,51,959,1,16502,1118,63.1,,,
237,India,14,Manipur,2007,"Financial Year (Apr - Mar), 2007",197.9,43,158,45,959,1,16502,1118,53.5,,,
238,India,14,Manipur,2008,"Financial Year (Apr - Mar), 2008",231.2,50,158,53,959,1,16502,1137,63.6,,,
239,India,14,Manipur,2009,"Financial Year (Apr - Mar), 2009",220.1,48,158,56,959,1,17724,1137,63.4,,,
240,India,14,Manipur,2010,"Financial Year (Apr - Mar), 2010",198.5,43,158,52,959,1,18604,1137,54.7,,,
241,India,14,Manipur,2011,"Financial Year (Apr - Mar), 2011",233.1,51,158,57,959,1,19133,1137,50.9,,,
242,India,14,Manipur,2012,"Financial Year (Apr - Mar), 2012",183.3,50,158,54,1317,1,19252,1137,40.5,,,
243,India,14,Manipur,2013,"Financial Year (Apr - Mar), 2013",199.5,54,179,57,1317,1,20837,715,35.1,,,
244,India,14,Manipur,2014,"Financial Year (Apr - Mar), 2014",201.3,55,179,58,1452,1,21661,715,38.5,,,
245,India,14,Manipur,2015,"Financial Year (Apr - Mar), 2015",249.1,68,200,71,1746,1,24247,715,40.9,,,
246,India,14,Manipur,2016,"Financial Year (Apr - Mar), 2016",297.6,81,206,84,1746,1,24776,715,44.5,,1,28
247,India,14,Manipur,2017,"Financial Year (Apr - Mar), 2017",271.1,74,233,76,1746,13,27612,715,36.5,,0,32
248,India,14,Manipur,2018,"Financial Year (Apr - Mar), 2018",303.8,83,242,87,,13,29180,715,36.41,,,
249,India,14,Manipur,2019,"Financial Year (Apr - Mar), 2019",332.8,90,259,92,1750,13,,,35.61,,,29
250,India,14,Manipur,2020,"Financial Year (Apr - Mar), 2020",341.0,92,268,92,,13,,,,,,
251,India,14,Manipur,2021,"Financial Year (Apr - Mar), 2021",360.3,97,262,97,1750,,,,,,,
252,India,15,Mizoram,2004,"Financial Year (Apr - Mar), 2004",,,,,,2,,,,,,
253,India,15,Mizoram,2005,"Financial Year (Apr - Mar), 2005",249.8,22,121,24,927,2,5426,140,66.1,,,
254,India,15,Mizoram,2006,"Financial Year (Apr - Mar), 2006",243.0,22,117,23,927,2,5974,161,39.2,,,
255,India,15,Mizoram,2007,"Financial Year (Apr - Mar), 2007",248.7,22,117,24,927,2,6144,259,38.2,,,
256,India,15,Mizoram,2008,"Financial Year (Apr - Mar), 2008",276.8,25,119,29,927,2,6158,259,44.6,,,
257,India,15,Mizoram,2009,"Financial Year (Apr - Mar), 2009",302.7,27,119,33,927,2,7742,259,52.7,,,
258,India,15,Mizoram,2010,"Financial Year (Apr - Mar), 2010",324.1,29,131,35,927,2,8727,700,53.8,,,
259,India,15,Mizoram,2011,"Financial Year (Apr - Mar), 2011",354.5,32,139,37,927,2,9810,700,45.6,,,
260,India,15,Mizoram,2012,"Financial Year (Apr - Mar), 2012",325.4,36,139,40,1027,2,11293,700,47.7,,,
261,India,15,Mizoram,2013,"Financial Year (Apr - Mar), 2013",346.5,38,150,41,1027,2,10939,310,37.8,,,
262,India,15,Mizoram,2014,"Financial Year (Apr - Mar), 2014",394.1,43,150,45,1222,2,9803,214,41.5,,,
263,India,15,Mizoram,2015,"Financial Year (Apr - Mar), 2015",389.5,43,161,46,1381,2,9831,214,42.1,,6,28
264,India,15,Mizoram,2016,"Financial Year (Apr - Mar), 2016",417.0,46,119,47,1381,2,8108,170,36.1,,1,29
265,India,15,Mizoram,2017,"Financial Year (Apr - Mar), 2017",457.4,50,137,51,1423,2,11012,170,35.5,,4,30
266,India,15,Mizoram,2018,"Financial Year (Apr - Mar), 2018",447.3,49,196,50,,2,13374,170,24.23,,,
267,India,15,Mizoram,2019,"Financial Year (Apr - Mar), 2019",605.9,64,206,67,1423,2,,,25.21,,,25
268,India,15,Mizoram,2020,"Financial Year (Apr - Mar), 2020",613.5,64,212,65,,2,,,,,,
269,India,15,Mizoram,2021,"Financial Year (Apr - Mar), 2021",689.9,72,207,73,1423,,,,,,,
270,India,16,Tripura,2004,"Financial Year (Apr - Mar), 2004",,,,,,64,,,,,,
271,India,16,Tripura,2005,"Financial Year (Apr - Mar), 2005",200.4,64,239,70,400,64,31716,689,59.5,,,
272,India,16,Tripura,2006,"Financial Year (Apr - Mar), 2006",208.2,67,244,75,400,64,31731,689,41.1,,,
273,India,16,Tripura,2007,"Financial Year (Apr - Mar), 2007",227.6,73,244,80,400,64,31731,689,34.8,,,
274,India,16,Tripura,2008,"Financial Year (Apr - Mar), 2008",214.4,69,243,78,400,64,31733,689,42.8,,,
275,India,16,Tripura,2009,"Financial Year (Apr - Mar), 2009",227.6,73,243,80,400,151,32767,689,35.8,,,
276,India,16,Tripura,2010,"Financial Year (Apr - Mar), 2010",241.0,77,244,86,400,151,33338,689,35.6,,,
277,India,16,Tripura,2011,"Financial Year (Apr - Mar), 2011",250.4,80,265,88,400,151,33772,689,27.4,,,
278,India,16,Tripura,2012,"Financial Year (Apr - Mar), 2012",245.2,90,265,95,400,151,29248,689,39.1,,,
279,India,16,Tripura,2013,"Financial Year (Apr - Mar), 2013",287.1,105,412,111,400,151,31021,689,31.7,,,
280,India,16,Tripura,2014,"Financial Year (Apr - Mar), 2014",311.6,114,433,120,509,151,41857,1378,35.4,,,
281,India,16,Tripura,2015,"Financial Year (Apr - Mar), 2015",285.5,105,627,124,577,151,37384,1378,35.9,,9,26
282,India,16,Tripura,2016,"Financial Year (Apr - Mar), 2016",312.2,115,677,120,805,193,39365,329,30.6,,17,22
283,India,16,Tripura,2017,"Financial Year (Apr - Mar), 2017",441.6,162,727,164,854,203,42925,329,30.4,,22,25
284,India,16,Tripura,2018,"Financial Year (Apr - Mar), 2018",695.2,255,733,260,,216,43215,1057,29.89,,,
285,India,16,Tripura,2019,"Financial Year (Apr - Mar), 2019",500.4,184,752,186,854,226,,,26.7,,,29
286,India,16,Tripura,2020,"Financial Year (Apr - Mar), 2020",411.8,152,764,154,,265,,,,,,
287,India,16,Tripura,2021,"Financial Year (Apr - Mar), 2021",402.5,148,724,148,854,,,,,,,
288,India,17,Meghalaya,2004,"Financial Year (Apr - Mar), 2004",,,,,,,,,,,,
289,India,17,Meghalaya,2005,"Financial Year (Apr - Mar), 2005",529.6,123,299,137,810,,9662,1134,28.4,,,
290,India,17,Meghalaya,2006,"Financial Year (Apr - Mar), 2006",493.4,114,288,138,810,,9691,1134,40.2,,,
291,India,17,Meghalaya,2007,"Financial Year (Apr - Mar), 2007",458.4,106,288,137,810,,9752,1134,35.3,,,
292,India,17,Meghalaya,2008,"Financial Year (Apr - Mar), 2008",531.3,123,288,162,810,,9839,1134,37.6,,,
293,India,17,Meghalaya,2009,"Financial Year (Apr - Mar), 2009",597.7,139,288,171,810,,11019,1134,37.5,,,
294,India,17,Meghalaya,2010,"Financial Year (Apr - Mar), 2010",572.3,133,290,155,810,,11702,1134,39.1,,,
295,India,17,Meghalaya,2011,"Financial Year (Apr - Mar), 2011",583.1,135,290,155,810,,11984,1134,35.8,,,
296,India,17,Meghalaya,2012,"Financial Year (Apr - Mar), 2012",489.2,145,374,193,1171,,12103,856,31.0,,,
297,India,17,Meghalaya,2013,"Financial Year (Apr - Mar), 2013",542.2,161,455,183,1171,,12317,858,23.6,,,
298,India,17,Meghalaya,2014,"Financial Year (Apr - Mar), 2014",541.2,160,455,179,1171,,13260,748,21.4,,,
299,India,17,Meghalaya,2015,"Financial Year (Apr - Mar), 2015",551.3,163,495,193,1204,,13372,751,33.1,,4,30
300,India,17,Meghalaya,2016,"Financial Year (Apr - Mar), 2016",581.6,172,510,183,1203,,21727,772,32.3,,0,31
301,India,17,Meghalaya,2017,"Financial Year (Apr - Mar), 2017",578.3,171,518,171,1204,,22939,772,35.7,,,34
302,India,17,Meghalaya,2018,"Financial Year (Apr - Mar), 2018",523.3,155,565,156,,9,43836,781,35.08,,,
303,India,17,Meghalaya,2019,"Financial Year (Apr - Mar), 2019",658.9,196,582,196,1156,9,,,43.12,,,29
304,India,17,Meghalaya,2020,"Financial Year (Apr - Mar), 2020",695.3,206,609,211,,9,,,,,,
305,India,17,Meghalaya,2021,"Financial Year (Apr - Mar), 2021",675.4,201,616,203,1156,,,,,,,
306,India,18,Assam,2004,"Financial Year (Apr - Mar), 2004",,,,,,2517,,,,2.13,,
307,India,18,Assam,2005,"Financial Year (Apr - Mar), 2005",134.4,358,1133,379,2836,2506,208788,2781,51.8,2.79,,
308,India,18,Assam,2006,"Financial Year (Apr - Mar), 2006",141.7,378,1131,405,2836,2284,215819,2821,40.3,5.67,,
309,India,18,Assam,2007,"Financial Year (Apr - Mar), 2007",149.5,398,1181,430,2836,2284,223450,2821,33.7,9.74,,
310,India,18,Assam,2008,"Financial Year (Apr - Mar), 2008",165.5,441,955,482,2836,2284,230334,3134,38.6,14.74,,
311,India,18,Assam,2009,"Financial Year (Apr - Mar), 2009",171.3,457,980,511,2836,2284,236985,3134,37.6,20.65,,
312,India,18,Assam,2010,"Financial Year (Apr - Mar), 2010",175.9,469,979,512,2836,2433,239394,3134,32.8,29.99,,
313,India,18,Assam,2011,"Financial Year (Apr - Mar), 2011",189.9,506,979,540,2836,2434,241789,3134,34.2,38.98,,
314,India,18,Assam,2012,"Financial Year (Apr - Mar), 2012",182.7,570,1020,603,2940,2459,284232,3134,33.5,46.61,,
315,India,18,Assam,2013,"Financial Year (Apr - Mar), 2013",194.0,605,1140,650,2940,2459,288135,3134,30.7,46.51,,
316,India,18,Assam,2014,"Financial Year (Apr - Mar), 2014",226.6,706,1143,754,3634,2468,313621,3134,31.1,48.74,,
317,India,18,Assam,2015,"Financial Year (Apr - Mar), 2015",254.3,793,1263,853,3784,2471,326512,2530,27.6,53.95,14,22
318,India,18,Assam,2016,"Financial Year (Apr - Mar), 2016",265.4,827,1369,876,3821,2443,329520,2530,25.2,57.64,14,24
319,India,18,Assam,2017,"Financial Year (Apr - Mar), 2017",278.9,869,1600,902,3845,2440,337777,2530,25.0,66.97,85,17
320,India,18,Assam,2018,"Financial Year (Apr - Mar), 2018",281.7,878,1571,910,,2465,343609,2530,24.6,76.87,,
321,India,18,Assam,2019,"Financial Year (Apr - Mar), 2019",295.3,924,1710,953,3909,2519,,,23.98,68.81,,20
322,India,18,Assam,2020,"Financial Year (Apr - Mar), 2020",296.9,929,1757,980,,2519,,,,70.01,,
323,India,18,Assam,2021,"Financial Year (Apr - Mar), 2021",313.7,982,1794,1019,3936,,,,,70.86,,
324,India,19,West Bengal,2004,"Financial Year (Apr - Mar), 2004",,,,,,3706,,,,2.18,,
325,India,19,West Bengal,2005,"Financial Year (Apr - Mar), 2005",284.2,2279,5565,2316,2325,3856,195679,1462,28.5,3.0,,
326,India,19,West Bengal,2006,"Financial Year (Apr - Mar), 2006",305.7,2451,5411,2494,2377,3911,199052,1517,24.8,5.53,,
327,India,19,West Bengal,2007,"Financial Year (Apr - Mar), 2007",323.9,2597,5331,2654,2377,3911,208415,1682,23.6,8.63,,
328,India,19,West Bengal,2008,"Financial Year (Apr - Mar), 2008",348.0,2790,7432,2902,2524,3951,211770,1682,21.3,14.36,,
329,India,19,West Bengal,2009,"Financial Year (Apr - Mar), 2009",377.8,3029,7732,3129,2578,3890,290170,4505,16.8,22.51,,
330,India,19,West Bengal,2010,"Financial Year (Apr - Mar), 2010",409.3,3282,8150,3375,2578,3890,291805,4505,18.3,34.81,,
331,India,19,West Bengal,2011,"Financial Year (Apr - Mar), 2011",447.1,3585,8317,3648,2578,3937,299209,4505,22.4,53.43,,
332,India,19,West Bengal,2012,"Financial Year (Apr - Mar), 2012",419.1,3828,8567,3868,2681,4000,315404,4505,23.2,61.52,,
333,India,19,West Bengal,2013,"Financial Year (Apr - Mar), 2013",458.1,4184,8616,4214,2681,4037,309692,3952,24.1,54.18,,
334,India,19,West Bengal,2014,"Financial Year (Apr - Mar), 2014",468.1,4276,8959,4289,2908,4070,313750,3893,24.1,55.13,,
335,India,19,West Bengal,2015,"Financial Year (Apr - Mar), 2015",512.6,4683,9576,4709,2910,4070,295997,3697,24.7,60.69,47,11
336,India,19,West Bengal,2016,"Financial Year (Apr - Mar), 2016",516.6,4719,9984,4736,2956,4135,316730,3612,22.2,63.16,84,15
337,India,19,West Bengal,2017,"Financial Year (Apr - Mar), 2017",523.4,4781,10383,4795,3004,4139,322067,3262,22.4,73.59,95,10
338,India,19,West Bengal,2018,"Financial Year (Apr - Mar), 2018",553.6,5057,10518,5076,,4139,329126,3262,22.2,73.73,,
339,India,19,West Bengal,2019,"Financial Year (Apr - Mar), 2019",570.1,5129,10568,5224,3664,4230,,,18.33,71.39,,9
340,India,19,West Bengal,2020,"Financial Year (Apr - Mar), 2020",587.2,5282,11027,5295,,4217,,,,67.8,,
341,India,19,West Bengal,2021,"Financial Year (Apr - Mar), 2021",572.9,5154,11037,5164,3665,,,,,68.5,,
342,India,20,Jharkhand,2004,"Financial Year (Apr - Mar), 2004",,,,,,1943,,,,2.0,,
343,India,20,Jharkhand,2005,"Financial Year (Apr - Mar), 2005",131.7,355,1897,363,1805,1941,18038,1886,19.6,2.3,,
344,India,20,Jharkhand,2006,"Financial Year (Apr - Mar), 2006",143.5,387,2017,403,1805,1955,18055,1886,26.8,2.99,,
345,India,20,Jharkhand,2007,"Financial Year (Apr - Mar), 2007",154.2,415,2017,437,1805,1941,18071,1886,26.2,3.43,,
346,India,20,Jharkhand,2008,"Financial Year (Apr - Mar), 2008",165.4,446,2153,514,1805,1965,17531,1886,23.2,3.6,,
347,India,20,Jharkhand,2009,"Financial Year (Apr - Mar), 2009",189.6,511,2153,536,1805,1968,20772,1886,24.3,4.11,,
348,India,20,Jharkhand,2010,"Financial Year (Apr - Mar), 2010",200.7,541,1943,587,1805,2001,22302,1886,22.2,5.54,,
349,India,20,Jharkhand,2011,"Financial Year (Apr - Mar), 2011",222.1,599,1984,620,1805,1984,23903,1886,17.1,,,
350,India,20,Jharkhand,2012,"Financial Year (Apr - Mar), 2012",182.9,603,3038,628,2170,2040,26277,1886,14.3,,,
351,India,20,Jharkhand,2013,"Financial Year (Apr - Mar), 2013",205.2,677,2270,704,2374,2113,37064,1960,13.6,,,
352,India,20,Jharkhand,2014,"Financial Year (Apr - Mar), 2014",212.6,701,2580,714,2968,2182,41258,1596,13.1,,,
353,India,20,Jharkhand,2015,"Financial Year (Apr - Mar), 2015",224.2,739,2626,760,2632,2294,42705,1358,17.2,,63,3
354,India,20,Jharkhand,2016,"Financial Year (Apr - Mar), 2016",229.3,756,2626,774,2654,2394,66786,1296,17.0,,97,7
355,India,20,Jharkhand,2017,"Financial Year (Apr - Mar), 2017",239.8,791,2237,796,2661,2455,69871,1339,16.3,,98,4
356,India,20,Jharkhand,2018,"Financial Year (Apr - Mar), 2018",235.2,775,1771,791,,2585,79062,1232,16.27,,,
357,India,20,Jharkhand,2019,"Financial Year (Apr - Mar), 2019",256.7,849,1774,868,3367,2571,,,18.37,,,5
358,India,20,Jharkhand,2020,"Financial Year (Apr - Mar), 2020",268.2,887,2514,894,,2596,,,,,,
359,India,20,Jharkhand,2021,"Financial Year (Apr - Mar), 2021",292.5,968,2548,995,3367,,,,,,,
360,India,21,Odisha,2004,"Financial Year (Apr - Mar), 2004",,,,,,2284,,,,2.95,,
361,India,21,Odisha,2005,"Financial Year (Apr - Mar), 2005",377.0,1388,3428,1398,3704,2280,215141,4042,44.0,3.96,,
362,India,21,Odisha,2006,"Financial Year (Apr - Mar), 2006",407.8,1501,3476,1521,3704,2282,215214,3908,45.6,7.57,,
363,India,21,Odisha,2007,"Financial Year (Apr - Mar), 2007",456.4,1680,3476,1710,3704,2247,215300,3835,43.3,9.51,,
364,India,21,Odisha,2008,"Financial Year (Apr - Mar), 2008",502.7,1850,4051,1885,3704,2387,215404,3806,39.4,15.0,,
365,India,21,Odisha,2009,"Financial Year (Apr - Mar), 2009",549.2,2021,4072,2052,3704,2385,229132,3798,42.7,23.3,,
366,India,21,Odisha,2010,"Financial Year (Apr - Mar), 2010",569.4,2096,4059,2114,3704,2386,233524,3707,37.0,39.3,,
367,India,21,Odisha,2011,"Financial Year (Apr - Mar), 2011",609.9,2245,5379,2251,3704,2461,258836,3576,42.5,56.37,,
368,India,21,Odisha,2012,"Financial Year (Apr - Mar), 2012",541.0,2269,5996,2304,3704,2469,254709,3654,44.6,65.84,,
369,India,21,Odisha,2013,"Financial Year (Apr - Mar), 2013",579.8,2432,6946,2516,4416,2507,277659,3607,39.8,60.21,,
370,India,21,Odisha,2014,"Financial Year (Apr - Mar), 2014",585.2,2455,7737,2496,4550,2516,283165,5125,38.9,60.9,,
371,India,21,Odisha,2015,"Financial Year (Apr - Mar), 2015",621.1,2605,9036,2648,4645,2529,283692,4109,42.0,66.85,52,7
372,India,21,Odisha,2016,"Financial Year (Apr - Mar), 2016",634.1,2660,9422,2676,4838,2572,288083,4187,39.1,69.09,93,11
373,India,21,Odisha,2017,"Financial Year (Apr - Mar), 2017",637.8,2676,8538,2676,5413,2598,303669,4139,38.2,80.74,92,14
374,India,21,Odisha,2018,"Financial Year (Apr - Mar), 2018",684.3,2871,7377,2880,,2608,307976,4138,38.11,80.28,,
375,India,21,Odisha,2019,"Financial Year (Apr - Mar), 2019",757.6,3212,7654,3181,5762,2622,,,34.94,75.74,,29
376,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",700.4,2969,8567,2969,,2652,,,,76.58,,
377,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",704.1,2985,8594,2985,5897,,,,,78.46,,
378,India,22,Chhattisgarh,2004,"Financial Year (Apr - Mar), 2004",,,,,,1159,,,,1.63,,
379,India,22,Chhattisgarh,2005,"Financial Year (Apr - Mar), 2005",554.5,1155,1633,1175,2184,1159,72322,3170,28.1,1.8,,
380,India,22,Chhattisgarh,2006,"Financial Year (Apr - Mar), 2006",601.9,1254,1649,1301,2184,1186,73892,3164,31.1,2.09,,
381,India,22,Chhattisgarh,2007,"Financial Year (Apr - Mar), 2007",632.1,1317,1649,1406,2184,1186,73705,3342,31.7,3.24,,
382,India,22,Chhattisgarh,2008,"Financial Year (Apr - Mar), 2008",643.6,1341,3103,1408,2184,1186,74434,3419,29.8,4.38,,
383,India,22,Chhattisgarh,2009,"Financial Year (Apr - Mar), 2009",694.8,1448,3607,1487,2184,1186,87733,3213,26.4,5.15,,
384,India,22,Chhattisgarh,2010,"Financial Year (Apr - Mar), 2010",515.5,1074,4769,1101,2184,1186,91477,5240,18.6,5.74,,
385,India,22,Chhattisgarh,2011,"Financial Year (Apr - Mar), 2011",487.9,1017,4882,1034,2184,1187,93965,5240,15.1,,,
386,India,22,Chhattisgarh,2012,"Financial Year (Apr - Mar), 2012",572.2,1462,5347,1501,2289,1188,75742,5240,16.5,,,
387,India,22,Chhattisgarh,2013,"Financial Year (Apr - Mar), 2013",665.7,1700,6532,1730,2289,1196,89236,5240,28.8,,,
388,India,22,Chhattisgarh,2014,"Financial Year (Apr - Mar), 2014",736.1,1880,9975,1893,3031,1197,94580,5080,28.4,,,
389,India,22,Chhattisgarh,2015,"Financial Year (Apr - Mar), 2015",831.2,2123,13086,2150,3079,1196,97534,4374,29.2,,62,4
390,India,22,Chhattisgarh,2016,"Financial Year (Apr - Mar), 2016",991.0,2531,15540,2565,3078,1213,95809,4462,30.8,,97,4
391,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",927.9,2370,12060,2375,3523,1216,97845,4438,25.6,,97,6
392,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",1011.4,2583,13527,2592,,1211,102578,4176,23.97,,,
393,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",1021.0,2642,14044,2613,3605,1212,,,25.14,,,6
394,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",1163.6,3011,12835,3011,,1152,,,,,,
395,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",1176.8,3045,13076,3047,3620,,,,,,,
396,India,23,Madhya Pradesh,2004,"Financial Year (Apr - Mar), 2004",,,,,,4849,,,,3.99,,
397,India,23,Madhya Pradesh,2005,"Financial Year (Apr - Mar), 2005",498.7,3010,5770,3481,5200,4905,163920,8098,41.3,5.21,,
398,India,23,Madhya Pradesh,2006,"Financial Year (Apr - Mar), 2006",523.9,3162,6199,3685,4670,4903,164801,8729,40.1,7.12,,
399,India,23,Madhya Pradesh,2007,"Financial Year (Apr - Mar), 2007",544.0,3283,6487,3871,4670,4884,165407,8729,39.2,12.22,,
400,India,23,Madhya Pradesh,2008,"Financial Year (Apr - Mar), 2008",591.6,3570,7752,4156,4670,4884,165740,8729,35.6,20.29,,
401,India,23,Madhya Pradesh,2009,"Financial Year (Apr - Mar), 2009",577.3,3484,8113,4205,4670,4949,185898,10115,38.5,30.08,,
402,India,23,Madhya Pradesh,2010,"Financial Year (Apr - Mar), 2010",579.5,3497,8324,4318,5027,4948,189915,10249,38.3,45.23,,
403,India,23,Madhya Pradesh,2011,"Financial Year (Apr - Mar), 2011",640.4,3864,8381,4844,5027,4955,197293,10249,37.6,48.88,,
404,India,23,Madhya Pradesh,2012,"Financial Year (Apr - Mar), 2012",570.2,4139,8780,4979,5064,4954,201261,10501,34.5,53.81,,
405,India,23,Madhya Pradesh,2013,"Financial Year (Apr - Mar), 2013",609.8,4683,10632,5178,5116,4955,228816,10934,31.5,53.55,,
406,India,23,Madhya Pradesh,2014,"Financial Year (Apr - Mar), 2014",680.3,4939,13805,4941,5116,4976,279996,10934,31.5,56.04,,
407,India,23,Madhya Pradesh,2015,"Financial Year (Apr - Mar), 2015",731.2,5308,15845,5337,5184,4979,288931,10934,32.3,60.25,62,5
408,India,23,Madhya Pradesh,2016,"Financial Year (Apr - Mar), 2016",859.2,6238,17644,6238,5194,5000,289940,10934,28.6,64.23,97,5
409,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",905.8,6576,19618,6576,8053,5113,342654,11389,26.8,67.07,97,7
410,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",963.2,6993,21728,6993,,4829,363972,11389,26.75,67.02,,
411,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",1042.3,7605,23334,7567,8772,4899,,,27.65,70.11,,4
412,India,23,Madhya Pradesh,2020,"Financial Year (Apr - Mar), 2020",1043.9,7617,24821,7617,,5148,,,,69.4,,
413,India,23,Madhya Pradesh,2021,"Financial Year (Apr - Mar), 2021",1143.5,8344,25489,8344,8941,,,,,68.87,,
414,India,24,Gujarat,2004,"Financial Year (Apr - Mar), 2004",,,,,,5283,,,,10.14,,
415,India,24,Gujarat,2005,"Financial Year (Apr - Mar), 2005",1040.5,5272,9291,5968,2871,5284,143419,18863,30.4,12.73,,
