ROWID,Country,State lgd code,State,YearCode,Year,Gender,Life expectancy
324,India,6,Haryana,2015,"Calendar Year (Jan - Dec), 2015",Female,71.9
325,India,6,Haryana,2015,"Calendar Year (Jan - Dec), 2015",Male,66.9
326,India,6,Haryana,2015,"Calendar Year (Jan - Dec), 2015",Total,69.1
327,India,6,Haryana,2016,"Calendar Year (Jan - Dec), 2016",Female,68.5
328,India,6,Haryana,2016,"Calendar Year (Jan - Dec), 2016",Male,67.2
329,India,6,Haryana,2016,"Calendar Year (Jan - Dec), 2016",Total,69.4
330,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",Female,72.3
331,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",Male,67.6
332,India,6,Haryana,2017,"Calendar Year (Jan - Dec), 2017",Total,69.7
333,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",Female,72.3
334,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",Male,67.7
335,India,6,Haryana,2018,"Calendar Year (Jan - Dec), 2018",Total,69.8
336,India,7,Delhi,1995,"Calendar Year (Jan - Dec), 1995",Total,
337,India,7,Delhi,1997,"Calendar Year (Jan - Dec), 1997",Female,
338,India,7,Delhi,1997,"Calendar Year (Jan - Dec), 1997",Male,
339,India,7,Delhi,1997,"Calendar Year (Jan - Dec), 1997",Total,
340,India,7,Delhi,1998,"Calendar Year (Jan - Dec), 1998",Female,
341,India,7,Delhi,1998,"Calendar Year (Jan - Dec), 1998",Male,
342,India,7,Delhi,1998,"Calendar Year (Jan - Dec), 1998",Total,
343,India,7,Delhi,1999,"Calendar Year (Jan - Dec), 1999",Female,
344,India,7,Delhi,1999,"Calendar Year (Jan - Dec), 1999",Male,
345,India,7,Delhi,1999,"Calendar Year (Jan - Dec), 1999",Total,
346,India,7,Delhi,2000,"Calendar Year (Jan - Dec), 2000",Female,
347,India,7,Delhi,2000,"Calendar Year (Jan - Dec), 2000",Male,
348,India,7,Delhi,2000,"Calendar Year (Jan - Dec), 2000",Total,
349,India,7,Delhi,2001,"Calendar Year (Jan - Dec), 2001",Female,
350,India,7,Delhi,2001,"Calendar Year (Jan - Dec), 2001",Male,
351,India,7,Delhi,2001,"Calendar Year (Jan - Dec), 2001",Total,
352,India,7,Delhi,2002,"Calendar Year (Jan - Dec), 2002",Female,
353,India,7,Delhi,2002,"Calendar Year (Jan - Dec), 2002",Male,
354,India,7,Delhi,2002,"Calendar Year (Jan - Dec), 2002",Total,
355,India,7,Delhi,2003,"Calendar Year (Jan - Dec), 2003",Female,
356,India,7,Delhi,2003,"Calendar Year (Jan - Dec), 2003",Male,
357,India,7,Delhi,2003,"Calendar Year (Jan - Dec), 2003",Total,
358,India,7,Delhi,2004,"Calendar Year (Jan - Dec), 2004",Female,
359,India,7,Delhi,2004,"Calendar Year (Jan - Dec), 2004",Male,
360,India,7,Delhi,2004,"Calendar Year (Jan - Dec), 2004",Total,
361,India,7,Delhi,2005,"Calendar Year (Jan - Dec), 2005",Female,
362,India,7,Delhi,2005,"Calendar Year (Jan - Dec), 2005",Male,
363,India,7,Delhi,2005,"Calendar Year (Jan - Dec), 2005",Total,
364,India,7,Delhi,2006,"Calendar Year (Jan - Dec), 2006",Female,
365,India,7,Delhi,2006,"Calendar Year (Jan - Dec), 2006",Male,
366,India,7,Delhi,2006,"Calendar Year (Jan - Dec), 2006",Total,
367,India,7,Delhi,2007,"Calendar Year (Jan - Dec), 2007",Female,
368,India,7,Delhi,2007,"Calendar Year (Jan - Dec), 2007",Male,
369,India,7,Delhi,2007,"Calendar Year (Jan - Dec), 2007",Total,
370,India,7,Delhi,2008,"Calendar Year (Jan - Dec), 2008",Female,
371,India,7,Delhi,2008,"Calendar Year (Jan - Dec), 2008",Male,
372,India,7,Delhi,2008,"Calendar Year (Jan - Dec), 2008",Total,
373,India,7,Delhi,2009,"Calendar Year (Jan - Dec), 2009",Female,
374,India,7,Delhi,2009,"Calendar Year (Jan - Dec), 2009",Male,
375,India,7,Delhi,2009,"Calendar Year (Jan - Dec), 2009",Total,
376,India,7,Delhi,2010,"Calendar Year (Jan - Dec), 2010",Female,
377,India,7,Delhi,2010,"Calendar Year (Jan - Dec), 2010",Male,
378,India,7,Delhi,2010,"Calendar Year (Jan - Dec), 2010",Total,
379,India,7,Delhi,2011,"Calendar Year (Jan - Dec), 2011",Female,
380,India,7,Delhi,2011,"Calendar Year (Jan - Dec), 2011",Male,
381,India,7,Delhi,2011,"Calendar Year (Jan - Dec), 2011",Total,
382,India,7,Delhi,2012,"Calendar Year (Jan - Dec), 2012",Female,
383,India,7,Delhi,2012,"Calendar Year (Jan - Dec), 2012",Male,
384,India,7,Delhi,2012,"Calendar Year (Jan - Dec), 2012",Total,
385,India,7,Delhi,2013,"Calendar Year (Jan - Dec), 2013",Female,
386,India,7,Delhi,2013,"Calendar Year (Jan - Dec), 2013",Male,
387,India,7,Delhi,2013,"Calendar Year (Jan - Dec), 2013",Total,
388,India,7,Delhi,2014,"Calendar Year (Jan - Dec), 2014",Female,74.7
389,India,7,Delhi,2014,"Calendar Year (Jan - Dec), 2014",Male,72
390,India,7,Delhi,2014,"Calendar Year (Jan - Dec), 2014",Total,73.2
391,India,7,Delhi,2015,"Calendar Year (Jan - Dec), 2015",Female,75.4
392,India,7,Delhi,2015,"Calendar Year (Jan - Dec), 2015",Male,72.5
393,India,7,Delhi,2015,"Calendar Year (Jan - Dec), 2015",Total,73.8
394,India,7,Delhi,2016,"Calendar Year (Jan - Dec), 2016",Female,68.5
395,India,7,Delhi,2016,"Calendar Year (Jan - Dec), 2016",Male,72.7
396,India,7,Delhi,2016,"Calendar Year (Jan - Dec), 2016",Total,74.2
397,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",Female,76.3
398,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",Male,73.3
399,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",Total,74.7
400,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",Female,77
401,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",Male,73.8
402,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",Total,75.3
403,India,8,Rajasthan,1995,"Calendar Year (Jan - Dec), 1995",Total,59.1
404,India,8,Rajasthan,1997,"Calendar Year (Jan - Dec), 1997",Female,60.1
405,India,8,Rajasthan,1997,"Calendar Year (Jan - Dec), 1997",Male,59.1
406,India,8,Rajasthan,1997,"Calendar Year (Jan - Dec), 1997",Total,59.6
407,India,8,Rajasthan,1998,"Calendar Year (Jan - Dec), 1998",Female,60.4
408,India,8,Rajasthan,1998,"Calendar Year (Jan - Dec), 1998",Male,59.4
409,India,8,Rajasthan,1998,"Calendar Year (Jan - Dec), 1998",Total,59.9
410,India,8,Rajasthan,1999,"Calendar Year (Jan - Dec), 1999",Female,63.1
411,India,8,Rajasthan,1999,"Calendar Year (Jan - Dec), 1999",Male,60.4
412,India,8,Rajasthan,1999,"Calendar Year (Jan - Dec), 1999",Total,61.7
413,India,8,Rajasthan,2000,"Calendar Year (Jan - Dec), 2000",Female,63.5
414,India,8,Rajasthan,2000,"Calendar Year (Jan - Dec), 2000",Male,61
415,India,8,Rajasthan,2000,"Calendar Year (Jan - Dec), 2000",Total,62.1
416,India,8,Rajasthan,2001,"Calendar Year (Jan - Dec), 2001",Female,64.3
417,India,8,Rajasthan,2001,"Calendar Year (Jan - Dec), 2001",Male,61.4
418,India,8,Rajasthan,2001,"Calendar Year (Jan - Dec), 2001",Total,62.8
419,India,8,Rajasthan,2002,"Calendar Year (Jan - Dec), 2002",Female,64.9
420,India,8,Rajasthan,2002,"Calendar Year (Jan - Dec), 2002",Male,61.9
421,India,8,Rajasthan,2002,"Calendar Year (Jan - Dec), 2002",Total,63.3
422,India,8,Rajasthan,2003,"Calendar Year (Jan - Dec), 2003",Female,65.5
423,India,8,Rajasthan,2003,"Calendar Year (Jan - Dec), 2003",Male,62.3
424,India,8,Rajasthan,2003,"Calendar Year (Jan - Dec), 2003",Total,63.8
425,India,8,Rajasthan,2004,"Calendar Year (Jan - Dec), 2004",Female,65.6
426,India,8,Rajasthan,2004,"Calendar Year (Jan - Dec), 2004",Male,62.6
427,India,8,Rajasthan,2004,"Calendar Year (Jan - Dec), 2004",Total,64.1
428,India,8,Rajasthan,2005,"Calendar Year (Jan - Dec), 2005",Female,66
429,India,8,Rajasthan,2005,"Calendar Year (Jan - Dec), 2005",Male,63
430,India,8,Rajasthan,2005,"Calendar Year (Jan - Dec), 2005",Total,64.5
431,India,8,Rajasthan,2006,"Calendar Year (Jan - Dec), 2006",Female,66.5
432,India,8,Rajasthan,2006,"Calendar Year (Jan - Dec), 2006",Male,63.3
433,India,8,Rajasthan,2006,"Calendar Year (Jan - Dec), 2006",Total,64.9
434,India,8,Rajasthan,2007,"Calendar Year (Jan - Dec), 2007",Female,67
435,India,8,Rajasthan,2007,"Calendar Year (Jan - Dec), 2007",Male,63.5
436,India,8,Rajasthan,2007,"Calendar Year (Jan - Dec), 2007",Total,65.2
437,India,8,Rajasthan,2008,"Calendar Year (Jan - Dec), 2008",Female,67.4
438,India,8,Rajasthan,2008,"Calendar Year (Jan - Dec), 2008",Male,64.3
439,India,8,Rajasthan,2008,"Calendar Year (Jan - Dec), 2008",Total,65.8
440,India,8,Rajasthan,2009,"Calendar Year (Jan - Dec), 2009",Female,67.8
441,India,8,Rajasthan,2009,"Calendar Year (Jan - Dec), 2009",Male,64.7
442,India,8,Rajasthan,2009,"Calendar Year (Jan - Dec), 2009",Total,66.2
443,India,8,Rajasthan,2010,"Calendar Year (Jan - Dec), 2010",Female,68.3
444,India,8,Rajasthan,2010,"Calendar Year (Jan - Dec), 2010",Male,64.7
445,India,8,Rajasthan,2010,"Calendar Year (Jan - Dec), 2010",Total,66.5
446,India,8,Rajasthan,2011,"Calendar Year (Jan - Dec), 2011",Female,68.7
447,India,8,Rajasthan,2011,"Calendar Year (Jan - Dec), 2011",Male,65
448,India,8,Rajasthan,2011,"Calendar Year (Jan - Dec), 2011",Total,66.8
449,India,8,Rajasthan,2012,"Calendar Year (Jan - Dec), 2012",Female,69.4
450,India,8,Rajasthan,2012,"Calendar Year (Jan - Dec), 2012",Male,65.2
451,India,8,Rajasthan,2012,"Calendar Year (Jan - Dec), 2012",Total,67.2
452,India,8,Rajasthan,2013,"Calendar Year (Jan - Dec), 2013",Female,70
453,India,8,Rajasthan,2013,"Calendar Year (Jan - Dec), 2013",Male,65.4
454,India,8,Rajasthan,2013,"Calendar Year (Jan - Dec), 2013",Total,67.5
455,India,8,Rajasthan,2014,"Calendar Year (Jan - Dec), 2014",Female,70.2
456,India,8,Rajasthan,2014,"Calendar Year (Jan - Dec), 2014",Male,65.5
457,India,8,Rajasthan,2014,"Calendar Year (Jan - Dec), 2014",Total,67.7
458,India,8,Rajasthan,2015,"Calendar Year (Jan - Dec), 2015",Female,70.4
459,India,8,Rajasthan,2015,"Calendar Year (Jan - Dec), 2015",Male,65.7
460,India,8,Rajasthan,2015,"Calendar Year (Jan - Dec), 2015",Total,67.9
461,India,8,Rajasthan,2016,"Calendar Year (Jan - Dec), 2016",Female,68.5
462,India,8,Rajasthan,2016,"Calendar Year (Jan - Dec), 2016",Male,66.1
463,India,8,Rajasthan,2016,"Calendar Year (Jan - Dec), 2016",Total,68.3
464,India,8,Rajasthan,2017,"Calendar Year (Jan - Dec), 2017",Female,70.9
465,India,8,Rajasthan,2017,"Calendar Year (Jan - Dec), 2017",Male,66.3
466,India,8,Rajasthan,2017,"Calendar Year (Jan - Dec), 2017",Total,68.5
467,India,8,Rajasthan,2018,"Calendar Year (Jan - Dec), 2018",Female,71.6
468,India,8,Rajasthan,2018,"Calendar Year (Jan - Dec), 2018",Male,66.5
469,India,8,Rajasthan,2018,"Calendar Year (Jan - Dec), 2018",Total,68.7
470,India,9,Uttar Pradesh,1995,"Calendar Year (Jan - Dec), 1995",Total,56.8
471,India,9,Uttar Pradesh,1997,"Calendar Year (Jan - Dec), 1997",Female,56.9
472,India,9,Uttar Pradesh,1997,"Calendar Year (Jan - Dec), 1997",Male,58.1
473,India,9,Uttar Pradesh,1997,"Calendar Year (Jan - Dec), 1997",Total,57.5
474,India,9,Uttar Pradesh,1998,"Calendar Year (Jan - Dec), 1998",Female,57.3
475,India,9,Uttar Pradesh,1998,"Calendar Year (Jan - Dec), 1998",Male,58.5
476,India,9,Uttar Pradesh,1998,"Calendar Year (Jan - Dec), 1998",Total,57.9
477,India,9,Uttar Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Female,58.6
478,India,9,Uttar Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Male,59.5
479,India,9,Uttar Pradesh,1999,"Calendar Year (Jan - Dec), 1999",Total,59.1
480,India,9,Uttar Pradesh,2000,"Calendar Year (Jan - Dec), 2000",Female,58.7
481,India,9,Uttar Pradesh,2000,"Calendar Year (Jan - Dec), 2000",Male,59.6
482,India,9,Uttar Pradesh,2000,"Calendar Year (Jan - Dec), 2000",Total,59.2
483,India,9,Uttar Pradesh,2001,"Calendar Year (Jan - Dec), 2001",Female,59
484,India,9,Uttar Pradesh,2001,"Calendar Year (Jan - Dec), 2001",Male,59.6
485,India,9,Uttar Pradesh,2001,"Calendar Year (Jan - Dec), 2001",Total,59.4
486,India,9,Uttar Pradesh,2002,"Calendar Year (Jan - Dec), 2002",Female,59.4
487,India,9,Uttar Pradesh,2002,"Calendar Year (Jan - Dec), 2002",Male,59.9
488,India,9,Uttar Pradesh,2002,"Calendar Year (Jan - Dec), 2002",Total,59.7
489,India,9,Uttar Pradesh,2003,"Calendar Year (Jan - Dec), 2003",Female,60.2
490,India,9,Uttar Pradesh,2003,"Calendar Year (Jan - Dec), 2003",Male,60
491,India,9,Uttar Pradesh,2003,"Calendar Year (Jan - Dec), 2003",Total,60.1
492,India,9,Uttar Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Female,60.7
493,India,9,Uttar Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Male,60.4
494,India,9,Uttar Pradesh,2004,"Calendar Year (Jan - Dec), 2004",Total,60.5
495,India,9,Uttar Pradesh,2005,"Calendar Year (Jan - Dec), 2005",Female,61.6
496,India,9,Uttar Pradesh,2005,"Calendar Year (Jan - Dec), 2005",Male,60.6
497,India,9,Uttar Pradesh,2005,"Calendar Year (Jan - Dec), 2005",Total,60.8
498,India,9,Uttar Pradesh,2006,"Calendar Year (Jan - Dec), 2006",Female,61.6
499,India,9,Uttar Pradesh,2006,"Calendar Year (Jan - Dec), 2006",Male,61
500,India,9,Uttar Pradesh,2006,"Calendar Year (Jan - Dec), 2006",Total,61.3
501,India,9,Uttar Pradesh,2007,"Calendar Year (Jan - Dec), 2007",Female,62.2
502,India,9,Uttar Pradesh,2007,"Calendar Year (Jan - Dec), 2007",Male,61
503,India,9,Uttar Pradesh,2007,"Calendar Year (Jan - Dec), 2007",Total,61.5
504,India,9,Uttar Pradesh,2008,"Calendar Year (Jan - Dec), 2008",Female,62.6
505,India,9,Uttar Pradesh,2008,"Calendar Year (Jan - Dec), 2008",Male,61.4
506,India,9,Uttar Pradesh,2008,"Calendar Year (Jan - Dec), 2008",Total,61.9
507,India,9,Uttar Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Female,63.1
508,India,9,Uttar Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Male,61.6
509,India,9,Uttar Pradesh,2009,"Calendar Year (Jan - Dec), 2009",Total,62.3
510,India,9,Uttar Pradesh,2010,"Calendar Year (Jan - Dec), 2010",Female,63.7
511,India,9,Uttar Pradesh,2010,"Calendar Year (Jan - Dec), 2010",Male,61.8
512,India,9,Uttar Pradesh,2010,"Calendar Year (Jan - Dec), 2010",Total,62.7
513,India,9,Uttar Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Female,64.2
514,India,9,Uttar Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Male,61.9
515,India,9,Uttar Pradesh,2011,"Calendar Year (Jan - Dec), 2011",Total,63
516,India,9,Uttar Pradesh,2012,"Calendar Year (Jan - Dec), 2012",Female,64.8
517,India,9,Uttar Pradesh,2012,"Calendar Year (Jan - Dec), 2012",Male,62.3
518,India,9,Uttar Pradesh,2012,"Calendar Year (Jan - Dec), 2012",Total,63.5
519,India,9,Uttar Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Female,65.2
520,India,9,Uttar Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Male,62.5
521,India,9,Uttar Pradesh,2013,"Calendar Year (Jan - Dec), 2013",Total,63.8
522,India,9,Uttar Pradesh,2014,"Calendar Year (Jan - Dec), 2014",Female,65.4
523,India,9,Uttar Pradesh,2014,"Calendar Year (Jan - Dec), 2014",Male,62.9
524,India,9,Uttar Pradesh,2014,"Calendar Year (Jan - Dec), 2014",Total,64.1
525,India,9,Uttar Pradesh,2015,"Calendar Year (Jan - Dec), 2015",Female,65.6
526,India,9,Uttar Pradesh,2015,"Calendar Year (Jan - Dec), 2015",Male,63.4
527,India,9,Uttar Pradesh,2015,"Calendar Year (Jan - Dec), 2015",Total,64.5
528,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Female,68.5
529,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Male,63.9
530,India,9,Uttar Pradesh,2016,"Calendar Year (Jan - Dec), 2016",Total,64.8
531,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Female,65.6
532,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Male,64.3
533,India,9,Uttar Pradesh,2017,"Calendar Year (Jan - Dec), 2017",Total,65
534,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Female,65.8
535,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Male,64.8
536,India,9,Uttar Pradesh,2018,"Calendar Year (Jan - Dec), 2018",Total,65.3
537,India,10,Bihar,1995,"Calendar Year (Jan - Dec), 1995",Total,59.3
538,India,10,Bihar,1997,"Calendar Year (Jan - Dec), 1997",Female,58.4
539,India,10,Bihar,1997,"Calendar Year (Jan - Dec), 1997",Male,60.4
540,India,10,Bihar,1997,"Calendar Year (Jan - Dec), 1997",Total,59.4
541,India,10,Bihar,1998,"Calendar Year (Jan - Dec), 1998",Female,58.7
542,India,10,Bihar,1998,"Calendar Year (Jan - Dec), 1998",Male,60.5
543,India,10,Bihar,1998,"Calendar Year (Jan - Dec), 1998",Total,59.6
544,India,10,Bihar,1999,"Calendar Year (Jan - Dec), 1999",Female,58.9
545,India,10,Bihar,1999,"Calendar Year (Jan - Dec), 1999",Male,60.1
546,India,10,Bihar,1999,"Calendar Year (Jan - Dec), 1999",Total,59.5
547,India,10,Bihar,2000,"Calendar Year (Jan - Dec), 2000",Female,59.9
548,India,10,Bihar,2000,"Calendar Year (Jan - Dec), 2000",Male,61.1
549,India,10,Bihar,2000,"Calendar Year (Jan - Dec), 2000",Total,60.5
550,India,10,Bihar,2001,"Calendar Year (Jan - Dec), 2001",Female,61.3
551,India,10,Bihar,2001,"Calendar Year (Jan - Dec), 2001",Male,62
552,India,10,Bihar,2001,"Calendar Year (Jan - Dec), 2001",Total,61.7
553,India,10,Bihar,2002,"Calendar Year (Jan - Dec), 2002",Female,62.5
554,India,10,Bihar,2002,"Calendar Year (Jan - Dec), 2002",Male,63.4
555,India,10,Bihar,2002,"Calendar Year (Jan - Dec), 2002",Total,63
556,India,10,Bihar,2003,"Calendar Year (Jan - Dec), 2003",Female,63.4
557,India,10,Bihar,2003,"Calendar Year (Jan - Dec), 2003",Male,64.6
558,India,10,Bihar,2003,"Calendar Year (Jan - Dec), 2003",Total,64
559,India,10,Bihar,2004,"Calendar Year (Jan - Dec), 2004",Female,63.9
560,India,10,Bihar,2004,"Calendar Year (Jan - Dec), 2004",Male,64.3
561,India,10,Bihar,2004,"Calendar Year (Jan - Dec), 2004",Total,64.1
562,India,10,Bihar,2005,"Calendar Year (Jan - Dec), 2005",Female,64.1
563,India,10,Bihar,2005,"Calendar Year (Jan - Dec), 2005",Male,64.2
564,India,10,Bihar,2005,"Calendar Year (Jan - Dec), 2005",Total,64.2
565,India,10,Bihar,2006,"Calendar Year (Jan - Dec), 2006",Female,64.3
566,India,10,Bihar,2006,"Calendar Year (Jan - Dec), 2006",Male,64.6
567,India,10,Bihar,2006,"Calendar Year (Jan - Dec), 2006",Total,64.4
568,India,10,Bihar,2007,"Calendar Year (Jan - Dec), 2007",Female,64.4
569,India,10,Bihar,2007,"Calendar Year (Jan - Dec), 2007",Male,64.4
570,India,10,Bihar,2007,"Calendar Year (Jan - Dec), 2007",Total,64.4
571,India,10,Bihar,2008,"Calendar Year (Jan - Dec), 2008",Female,64.7
572,India,10,Bihar,2008,"Calendar Year (Jan - Dec), 2008",Male,64.2
573,India,10,Bihar,2008,"Calendar Year (Jan - Dec), 2008",Total,64.4
574,India,10,Bihar,2009,"Calendar Year (Jan - Dec), 2009",Female,65.3
575,India,10,Bihar,2009,"Calendar Year (Jan - Dec), 2009",Male,64.9
576,India,10,Bihar,2009,"Calendar Year (Jan - Dec), 2009",Total,65.1
577,India,10,Bihar,2010,"Calendar Year (Jan - Dec), 2010",Female,66.2
578,India,10,Bihar,2010,"Calendar Year (Jan - Dec), 2010",Male,65.5
579,India,10,Bihar,2010,"Calendar Year (Jan - Dec), 2010",Total,65.8
580,India,10,Bihar,2011,"Calendar Year (Jan - Dec), 2011",Female,66.8
581,India,10,Bihar,2011,"Calendar Year (Jan - Dec), 2011",Male,65.9
582,India,10,Bihar,2011,"Calendar Year (Jan - Dec), 2011",Total,66.3
583,India,10,Bihar,2012,"Calendar Year (Jan - Dec), 2012",Female,67.6
584,India,10,Bihar,2012,"Calendar Year (Jan - Dec), 2012",Male,66.7
585,India,10,Bihar,2012,"Calendar Year (Jan - Dec), 2012",Total,67.2
586,India,10,Bihar,2013,"Calendar Year (Jan - Dec), 2013",Female,68
587,India,10,Bihar,2013,"Calendar Year (Jan - Dec), 2013",Male,67.3
588,India,10,Bihar,2013,"Calendar Year (Jan - Dec), 2013",Total,67.7
589,India,10,Bihar,2014,"Calendar Year (Jan - Dec), 2014",Female,68.4
590,India,10,Bihar,2014,"Calendar Year (Jan - Dec), 2014",Male,67.8
591,India,10,Bihar,2014,"Calendar Year (Jan - Dec), 2014",Total,68.1
592,India,10,Bihar,2015,"Calendar Year (Jan - Dec), 2015",Female,68.3
593,India,10,Bihar,2015,"Calendar Year (Jan - Dec), 2015",Male,68.5
594,India,10,Bihar,2015,"Calendar Year (Jan - Dec), 2015",Total,68.4
595,India,10,Bihar,2016,"Calendar Year (Jan - Dec), 2016",Female,68.5
596,India,10,Bihar,2016,"Calendar Year (Jan - Dec), 2016",Male,68.9
597,India,10,Bihar,2016,"Calendar Year (Jan - Dec), 2016",Total,68.7
598,India,10,Bihar,2017,"Calendar Year (Jan - Dec), 2017",Female,68.6
599,India,10,Bihar,2017,"Calendar Year (Jan - Dec), 2017",Male,69.2
600,India,10,Bihar,2017,"Calendar Year (Jan - Dec), 2017",Total,68.9
601,India,10,Bihar,2018,"Calendar Year (Jan - Dec), 2018",Female,68.7
602,India,10,Bihar,2018,"Calendar Year (Jan - Dec), 2018",Male,69.4
603,India,10,Bihar,2018,"Calendar Year (Jan - Dec), 2018",Total,69.1
604,India,18,Assam,1995,"Calendar Year (Jan - Dec), 1995",Total,55.7
605,India,18,Assam,1997,"Calendar Year (Jan - Dec), 1997",Female,57.1
606,India,18,Assam,1997,"Calendar Year (Jan - Dec), 1997",Male,56.6
607,India,18,Assam,1997,"Calendar Year (Jan - Dec), 1997",Total,56.9
608,India,18,Assam,1998,"Calendar Year (Jan - Dec), 1998",Female,57.4
609,India,18,Assam,1998,"Calendar Year (Jan - Dec), 1998",Male,56.9
610,India,18,Assam,1998,"Calendar Year (Jan - Dec), 1998",Total,57.2
611,India,18,Assam,1999,"Calendar Year (Jan - Dec), 1999",Female,57.6
612,India,18,Assam,1999,"Calendar Year (Jan - Dec), 1999",Male,57.1
613,India,18,Assam,1999,"Calendar Year (Jan - Dec), 1999",Total,57.3
614,India,18,Assam,2000,"Calendar Year (Jan - Dec), 2000",Female,57.7
615,India,18,Assam,2000,"Calendar Year (Jan - Dec), 2000",Male,57.3
616,India,18,Assam,2000,"Calendar Year (Jan - Dec), 2000",Total,57.4
617,India,18,Assam,2001,"Calendar Year (Jan - Dec), 2001",Female,57.9
618,India,18,Assam,2001,"Calendar Year (Jan - Dec), 2001",Male,57.2
619,India,18,Assam,2001,"Calendar Year (Jan - Dec), 2001",Total,57.5
620,India,18,Assam,2002,"Calendar Year (Jan - Dec), 2002",Female,58.9
621,India,18,Assam,2002,"Calendar Year (Jan - Dec), 2002",Male,57.4
622,India,18,Assam,2002,"Calendar Year (Jan - Dec), 2002",Total,58
623,India,18,Assam,2003,"Calendar Year (Jan - Dec), 2003",Female,59.2
624,India,18,Assam,2003,"Calendar Year (Jan - Dec), 2003",Male,58.2
625,India,18,Assam,2003,"Calendar Year (Jan - Dec), 2003",Total,58.6
626,India,18,Assam,2004,"Calendar Year (Jan - Dec), 2004",Female,59.6
627,India,18,Assam,2004,"Calendar Year (Jan - Dec), 2004",Male,58.2
628,India,18,Assam,2004,"Calendar Year (Jan - Dec), 2004",Total,58.8
629,India,18,Assam,2005,"Calendar Year (Jan - Dec), 2005",Female,60.3
630,India,18,Assam,2005,"Calendar Year (Jan - Dec), 2005",Male,58.4
631,India,18,Assam,2005,"Calendar Year (Jan - Dec), 2005",Total,59.2
632,India,18,Assam,2006,"Calendar Year (Jan - Dec), 2006",Female,61.1
633,India,18,Assam,2006,"Calendar Year (Jan - Dec), 2006",Male,59.2
634,India,18,Assam,2006,"Calendar Year (Jan - Dec), 2006",Total,60
635,India,18,Assam,2007,"Calendar Year (Jan - Dec), 2007",Female,61.3
636,India,18,Assam,2007,"Calendar Year (Jan - Dec), 2007",Male,60.1
637,India,18,Assam,2007,"Calendar Year (Jan - Dec), 2007",Total,60.6
638,India,18,Assam,2008,"Calendar Year (Jan - Dec), 2008",Female,62.3
639,India,18,Assam,2008,"Calendar Year (Jan - Dec), 2008",Male,60
640,India,18,Assam,2008,"Calendar Year (Jan - Dec), 2008",Total,61
641,India,18,Assam,2009,"Calendar Year (Jan - Dec), 2009",Female,62.9
642,India,18,Assam,2009,"Calendar Year (Jan - Dec), 2009",Male,60.5
643,India,18,Assam,2009,"Calendar Year (Jan - Dec), 2009",Total,61.6
644,India,18,Assam,2010,"Calendar Year (Jan - Dec), 2010",Female,63.2
645,India,18,Assam,2010,"Calendar Year (Jan - Dec), 2010",Male,61
646,India,18,Assam,2010,"Calendar Year (Jan - Dec), 2010",Total,61.9
647,India,18,Assam,2011,"Calendar Year (Jan - Dec), 2011",Female,63.6
648,India,18,Assam,2011,"Calendar Year (Jan - Dec), 2011",Male,61.2
649,India,18,Assam,2011,"Calendar Year (Jan - Dec), 2011",Total,62.2
650,India,18,Assam,2012,"Calendar Year (Jan - Dec), 2012",Female,64.8
651,India,18,Assam,2012,"Calendar Year (Jan - Dec), 2012",Male,61.2
652,India,18,Assam,2012,"Calendar Year (Jan - Dec), 2012",Total,62.7
653,India,18,Assam,2013,"Calendar Year (Jan - Dec), 2013",Female,65.1
654,India,18,Assam,2013,"Calendar Year (Jan - Dec), 2013",Male,61.9
655,India,18,Assam,2013,"Calendar Year (Jan - Dec), 2013",Total,63.3
656,India,18,Assam,2014,"Calendar Year (Jan - Dec), 2014",Female,65.5
657,India,18,Assam,2014,"Calendar Year (Jan - Dec), 2014",Male,62.7
658,India,18,Assam,2014,"Calendar Year (Jan - Dec), 2014",Total,63.9
