srcStateName,srcYear,Average daily wage rates for male construction workers in rural areas,Average daily wage rates for male general agricultural labourers in rural areas,Average daily wage rates for Horticulture workers in rural areas,Average daily wage rates for male non-agricultural labourers in rural areas,Consumer Price Index (CPI) for Food and Beverages (%),Consumer Price Index (CPI)  for Fuel and Light (%),Consumer Price Index (CPI) or General Inflation (%),Consumer Price Index (CPI) or Inflation for Urban Housing (%),YearCode,Year
Himachal Pradesh,2020-21,445.8,421.7,,342.1,6.2,-5.7,5.2,3.3,2020,"Financial Year (Apr - Mar), 2020"
Jammu & Kashmir,2020-21,492.6,501.1,,483.0,6.7,5.0,6.3,4.8,2020,"Financial Year (Apr - Mar), 2020"
Jharkhand,2020-21,,,,,9.4,3.5,6.0,2.7,2020,"Financial Year (Apr - Mar), 2020"
Karnataka,2020-21,365.7,312.5,341.3,279.2,6.9,6.3,5.8,4.0,2020,"Financial Year (Apr - Mar), 2020"
Kerala,2020-21,829.7,706.5,,677.6,5.9,5.5,6.0,3.2,2020,"Financial Year (Apr - Mar), 2020"
Uttarakhand,2020-21,,,,,9.3,2.2,8.1,4.7,2020,"Financial Year (Apr - Mar), 2020"
Lakshadweep,2020-21,,,,,20.3,1.1,11.1,-2.7,2020,"Financial Year (Apr - Mar), 2020"
Madhya Pradesh,2020-21,263.5,217.6,202.8,232.6,8.5,5.2,7.6,5.0,2020,"Financial Year (Apr - Mar), 2020"
Maharashtra,2020-21,347.9,267.7,278.3,262.3,8.3,8.0,6.8,5.1,2020,"Financial Year (Apr - Mar), 2020"
Manipur,2020-21,350.0,,,,6.2,5.6,6.7,3.2,2020,"Financial Year (Apr - Mar), 2020"
Meghalaya,2020-21,323.7,245.2,,226.0,8.8,24.2,9.2,3.7,2020,"Financial Year (Apr - Mar), 2020"
Mizoram,2020-21,,,,,13.8,15.0,10.3,5.3,2020,"Financial Year (Apr - Mar), 2020"
Nagaland,2020-21,,,,,7.2,1.7,4.8,0.8,2020,"Financial Year (Apr - Mar), 2020"
Odisha,2020-21,294.3,255.6,,270.5,10.6,4.6,7.9,3.7,2020,"Financial Year (Apr - Mar), 2020"
Puducherry,2020-21,,,,,11.2,8.5,8.4,3.7,2020,"Financial Year (Apr - Mar), 2020"
Punjab,2020-21,382.0,357.0,,344.2,5.9,2.7,5.3,2.8,2020,"Financial Year (Apr - Mar), 2020"
Rajasthan,2020-21,365.2,327.1,,329.0,4.8,2.0,4.4,3.2,2020,"Financial Year (Apr - Mar), 2020"
Sikkim,2020-21,,,,,14.0,-5.6,7.1,3.4,2020,"Financial Year (Apr - Mar), 2020"
West Bengal,2020-21,308.2,288.6,335.7,305.8,12.5,3.6,8.7,5.3,2020,"Financial Year (Apr - Mar), 2020"
Tamil Nadu,2020-21,468.3,434.2,,449.5,9.9,7.3,7.5,4.3,2020,"Financial Year (Apr - Mar), 2020"
Telangana,2020-21,,,,,11.3,-0.7,8.7,4.9,2020,"Financial Year (Apr - Mar), 2020"
Tripura,2020-21,250.0,270.0,,250.0,13.3,7.2,9.5,6.5,2020,"Financial Year (Apr - Mar), 2020"
Uttar Pradesh,2020-21,313.9,274.5,,286.8,8.2,3.3,6.1,4.2,2020,"Financial Year (Apr - Mar), 2020"
