ROWID,Country,State lgd code,State,YearCode,Year,Average daily wage rates for male construction workers in rural areas,Average daily wage rates for male general agricultural labourers in rural areas,Average daily wage rates for Horticulture workers in rural areas,Average daily wage rates for male non-agricultural labourers in rural areas,Consumer Price Index (CPI) for Food and Beverages (%),Consumer Price Index (CPI)  for Fuel and Light (%),Consumer Price Index (CPI) or General Inflation (%),Consumer Price Index (CPI) or Inflation for Urban Housing (%)
221,India,35,Andaman And Nicobar Islands,2017,"Financial Year (Apr - Mar), 2017",,,,,1.5,12.6,3.6,13.3
222,India,35,Andaman And Nicobar Islands,2018,"Financial Year (Apr - Mar), 2018",,,,,5.2,11.1,6.9,12.6
223,India,35,Andaman And Nicobar Islands,2019,"Financial Year (Apr - Mar), 2019",,,,,10.4,-4.5,6.5,6.4
224,India,35,Andaman And Nicobar Islands,2020,"Financial Year (Apr - Mar), 2020",,,,,5.6,-5.3,6.3,7.3
225,India,36,Telangana,2014,"Financial Year (Apr - Mar), 2014",,,,,4.0,2.0,4.7,6.2
226,India,36,Telangana,2015,"Financial Year (Apr - Mar), 2015",,,,,7.2,4.0,5.5,4.2
227,India,36,Telangana,2016,"Financial Year (Apr - Mar), 2016",,,,,7.0,3.8,6.1,7.1
228,India,36,Telangana,2017,"Financial Year (Apr - Mar), 2017",,,,,3.1,7.1,3.9,5.3
229,India,36,Telangana,2018,"Financial Year (Apr - Mar), 2018",,,,,0.1,6.0,2.6,4.2
230,India,36,Telangana,2019,"Financial Year (Apr - Mar), 2019",,,,,4.9,0.1,4.5,4.1
231,India,36,Telangana,2020,"Financial Year (Apr - Mar), 2020",,,,,11.3,-0.7,8.7,4.9
232,India,37,Ladakh,2014,"Financial Year (Apr - Mar), 2014",413.6,367.7,,382.1,7.2,4.3,6.0,6.0
233,India,37,Ladakh,2015,"Financial Year (Apr - Mar), 2015",422.3,394.5,,406.7,6.4,7.0,6.0,4.9
234,India,37,Ladakh,2016,"Financial Year (Apr - Mar), 2016",430.1,409.8,,408.8,5.0,7.8,5.3,2.7
235,India,37,Ladakh,2017,"Financial Year (Apr - Mar), 2017",442.9,436.0,,417.3,7.3,9.5,6.8,7.3
236,India,37,Ladakh,2018,"Financial Year (Apr - Mar), 2018",450.6,443.6,,433.9,1.9,10.3,5.3,12.9
237,India,37,Ladakh,2019,"Financial Year (Apr - Mar), 2019",463.6,451.6,,452.8,3.2,-1.1,4.3,11.5
238,India,37,Ladakh,2020,"Financial Year (Apr - Mar), 2020",492.6,501.1,,483.0,6.7,5.0,6.3,4.8
239,India,38,The Dadra And Nagar Haveli And Daman And Diu,2014,"Financial Year (Apr - Mar), 2014",,,,,6.236052957972999679700,3.243263549567599615640,5.418937194610839654076,6.167589904524359577204
240,India,38,The Dadra And Nagar Haveli And Daman And Diu,2015,"Financial Year (Apr - Mar), 2015",,,,,7.936052957972999679700,12.922580057108198910980,6.916242614437879500332,5.977495076291919666888
241,India,38,The Dadra And Nagar Haveli And Daman And Diu,2016,"Financial Year (Apr - Mar), 2016",,,,,6.158557881681080012812,6.906262309270200832780,5.351347290086480076872,3.800000000000000000000
242,India,38,The Dadra And Nagar Haveli And Daman And Diu,2017,"Financial Year (Apr - Mar), 2017",,,,,3.336052957972999679700,5.646033263140678347252,4.333358377800039525956,3.975673645043240038436
243,India,38,The Dadra And Nagar Haveli And Daman And Diu,2018,"Financial Year (Apr - Mar), 2018",,,,,-3.506337442670319410648,-3.816167481037760922464,0.266641622199960474044,4.492789408405400064060
244,India,38,The Dadra And Nagar Haveli And Daman And Diu,2019,"Financial Year (Apr - Mar), 2019",,,,,1.649525858837800448420,10.058482748280961434944,3.083757385562120499668,4.743263549567599615640
245,India,38,The Dadra And Nagar Haveli And Daman And Diu,2020,"Financial Year (Apr - Mar), 2020",,,,,7.287400248059479756572,5.433508644600276681692,5.318937194610839654076,2.746831278664840294676
